% Measurement ID: 1600
% Mode ID: S
% Date and time: 2020-07-14 08:13:12
% Sample ID: SPT08-13
% Measurement type: spectrum
% Frequency [Hz]: 1434987.261201163
% Quality factor: 167424.65369223492
% Temperature [K]: 293.0
% Pressure [mBar]: 1.18e-08
% Notes: 
% Unable to excite. Average over 40 spectra.
%
% measurement data
% frequency [Hz], power [dBm]
1434932.0, -127.1357
1434932.0, -127.1083
1434932.0, -127.2476
1434932.0, -127.5534
1434933.0, -127.5857
1434933.0, -127.491
1434933.0, -127.4509
1434933.0, -127.4049
1434933.0, -127.3817
1434933.0, -127.3716
1434933.0, -127.4469
1434933.0, -127.4054
1434934.0, -127.2473
1434934.0, -127.0403
1434934.0, -126.7619
1434934.0, -126.6834
1434934.0, -126.7144
1434934.0, -126.6839
1434934.0, -126.6488
1434935.0, -126.6332
1434935.0, -126.629
1434935.0, -126.4319
1434935.0, -126.3464
1434935.0, -126.3726
1434935.0, -126.4121
1434935.0, -126.4976
1434935.0, -126.4364
1434936.0, -126.2927
1434936.0, -126.0183
1434936.0, -125.6291
1434936.0, -125.5355
1434936.0, -125.6005
1434936.0, -126.3313
1434936.0, -126.3833
1434937.0, -125.7566
1434937.0, -125.5111
1434937.0, -125.2936
1434937.0, -124.9772
1434937.0, -124.6043
1434937.0, -124.6626
1434937.0, -124.9895
1434937.0, -125.2102
1434938.0, -125.4498
1434938.0, -125.7082
1434938.0, -125.966
1434938.0, -126.2233
1434938.0, -126.3511
1434938.0, -126.3923
1434938.0, -126.4112
1434939.0, -126.3865
1434939.0, -126.3017
1434939.0, -126.1624
1434939.0, -126.0629
1434939.0, -125.9718
1434939.0, -125.4538
1434939.0, -124.9499
1434939.0, -124.46
1434940.0, -124.3992
1434940.0, -124.6292
1434940.0, -124.7996
1434940.0, -125.0271
1434940.0, -125.1592
1434940.0, -125.2467
1434940.0, -125.4341
1434941.0, -125.6731
1434941.0, -125.7176
1434941.0, -125.5845
1434941.0, -125.2741
1434941.0, -125.3087
1434941.0, -125.5141
1434941.0, -125.4486
1434941.0, -125.2594
1434942.0, -125.128
1434942.0, -124.994
1434942.0, -124.9638
1434942.0, -125.002
1434942.0, -124.9441
1434942.0, -124.9569
1434942.0, -125.0404
1434943.0, -125.329
1434943.0, -125.7778
1434943.0, -125.6621
1434943.0, -125.2235
1434943.0, -124.9147
1434943.0, -124.5847
1434943.0, -124.6997
1434943.0, -125.1044
1434944.0, -124.9497
1434944.0, -124.94
1434944.0, -125.0754
1434944.0, -125.2222
1434944.0, -125.425
1434944.0, -125.6412
1434944.0, -125.885
1434945.0, -126.0538
1434945.0, -126.1819
1434945.0, -126.0119
1434945.0, -125.6296
1434945.0, -124.9556
1434945.0, -124.8695
1434945.0, -125.3713
1434945.0, -125.4567
1434946.0, -125.4606
1434946.0, -125.4405
1434946.0, -125.3772
1434946.0, -125.4317
1434946.0, -125.5502
1434946.0, -125.7697
1434946.0, -126.0778
1434947.0, -126.6061
1434947.0, -126.8021
1434947.0, -126.6656
1434947.0, -126.3365
1434947.0, -125.768
1434947.0, -125.4244
1434947.0, -125.1508
1434947.0, -125.0301
1434948.0, -125.0346
1434948.0, -124.7573
1434948.0, -124.3339
1434948.0, -123.62
1434948.0, -123.3465
1434948.0, -123.5134
1434948.0, -123.7167
1434949.0, -124.091
1434949.0, -124.1822
1434949.0, -124.1417
1434949.0, -124.0954
1434949.0, -124.0014
1434949.0, -123.9028
1434949.0, -123.7853
1434949.0, -123.8844
1434950.0, -124.3963
1434950.0, -125.3212
1434950.0, -125.741
1434950.0, -125.9618
1434950.0, -125.9588
1434950.0, -125.7403
1434950.0, -125.1663
1434951.0, -124.2834
1434951.0, -123.8205
1434951.0, -123.7322
1434951.0, -124.0187
1434951.0, -123.942
1434951.0, -123.7483
1434951.0, -123.5564
1434951.0, -123.3267
1434952.0, -123.0631
1434952.0, -122.7644
1434952.0, -122.6165
1434952.0, -122.5575
1434952.0, -122.493
1434952.0, -122.5289
1434952.0, -122.665
1434953.0, -122.8
1434953.0, -122.9677
1434953.0, -123.1646
1434953.0, -123.3919
1434953.0, -123.5813
1434953.0, -123.7555
1434953.0, -123.6125
1434953.0, -123.2529
1434954.0, -123.1388
1434954.0, -123.0423
1434954.0, -122.9635
1434954.0, -122.9996
1434954.0, -123.1182
1434954.0, -122.8622
1434954.0, -122.3839
1434955.0, -122.1994
1434955.0, -122.1368
1434955.0, -122.0706
1434955.0, -122.0426
1434955.0, -122.2287
1434955.0, -122.2655
1434955.0, -122.153
1434955.0, -122.1037
1434956.0, -122.0466
1434956.0, -121.8608
1434956.0, -121.5865
1434956.0, -121.4847
1434956.0, -121.4684
1434956.0, -121.3344
1434956.0, -121.1504
1434957.0, -121.1675
1434957.0, -121.2265
1434957.0, -121.3275
1434957.0, -121.5565
1434957.0, -121.8849
1434957.0, -121.9863
1434957.0, -121.9696
1434957.0, -121.8576
