% Measurement ID: 1617
% Mode ID: S
% Date and time: 2020-07-14 08:55:16
% Sample ID: SPT08-48-11
% Measurement type: spectrum
% Frequency [Hz]: 1431036.1747789662
% Quality factor: 62044.30632764199
% Temperature [K]: nan
% Pressure [mBar]: 1.18e-08
% Notes: 
% 
%
% measurement data
% frequency [Hz], power [dBm]
1430978.0, -119.577
1430978.0, -118.9271
1430978.0, -118.7373
1430978.0, -119.0075
1430979.0, -118.9411
1430979.0, -118.8037
1430979.0, -118.8611
1430979.0, -119.0247
1430979.0, -119.1994
1430979.0, -119.4167
1430979.0, -120.4639
1430979.0, -120.6003
1430980.0, -119.8261
1430980.0, -119.6174
1430980.0, -119.4822
1430980.0, -119.4263
1430980.0, -119.4479
1430980.0, -119.6244
1430980.0, -119.9301
1430981.0, -119.9846
1430981.0, -119.9148
1430981.0, -118.4574
1430981.0, -117.9466
1430981.0, -118.3824
1430981.0, -118.5489
1430981.0, -118.8513
1430981.0, -119.2925
1430982.0, -119.8715
1430982.0, -119.9904
1430982.0, -119.8484
1430982.0, -119.7182
1430982.0, -119.5087
1430982.0, -119.0723
1430982.0, -118.8801
1430983.0, -118.9321
1430983.0, -119.1939
1430983.0, -119.677
1430983.0, -119.6926
1430983.0, -119.4703
1430983.0, -119.5188
1430983.0, -119.6684
1430983.0, -119.4712
1430984.0, -119.0765
1430984.0, -119.0431
1430984.0, -118.8571
1430984.0, -118.5185
1430984.0, -118.326
1430984.0, -118.1799
1430984.0, -117.8996
1430985.0, -117.5452
1430985.0, -117.3852
1430985.0, -117.3299
1430985.0, -117.3531
1430985.0, -117.4635
1430985.0, -118.6782
1430985.0, -118.9835
1430985.0, -118.3795
1430986.0, -118.3665
1430986.0, -118.4445
1430986.0, -118.5539
1430986.0, -118.7147
1430986.0, -118.8653
1430986.0, -119.0264
1430986.0, -119.1383
1430987.0, -119.2209
1430987.0, -119.1115
1430987.0, -119.0995
1430987.0, -119.185
1430987.0, -118.8343
1430987.0, -118.2253
1430987.0, -118.1584
1430987.0, -118.3667
1430988.0, -118.5659
1430988.0, -118.8507
1430988.0, -118.5867
1430988.0, -117.9855
1430988.0, -117.1613
1430988.0, -116.7332
1430988.0, -116.7013
1430989.0, -116.7515
1430989.0, -116.9886
