% Measurement ID: 1660
% Mode ID: S
% Date and time: 2020-07-15 09:38:14
% Sample ID: SPT10-78-12
% Measurement type: spectrum
% Frequency [Hz]: 1449361.401605077
% Quality factor: 104882.8356056415
% Temperature [K]: 293.0
% Pressure [mBar]: 5.94e-08
% Notes: 
% 
%
% measurement data
% frequency [Hz], power [dBm]
1449311.0, -129.4391
1449311.0, -129.206
1449311.0, -129.0037
1449311.0, -128.8324
1449312.0, -128.8727
1449312.0, -129.0644
1449312.0, -129.2239
1449312.0, -129.4125
1449312.0, -129.5173
1449312.0, -129.576
1449312.0, -129.4314
1449312.0, -129.1794
1449313.0, -128.8199
1449313.0, -128.7146
1449313.0, -128.743
1449313.0, -128.9078
1449313.0, -129.2082
1449313.0, -129.1637
1449313.0, -128.9345
1449314.0, -128.4748
1449314.0, -127.8
1449314.0, -127.3517
1449314.0, -127.2005
1449314.0, -127.3462
1449314.0, -127.6381
1449314.0, -128.1263
1449314.0, -128.3814
1449315.0, -128.5467
1449315.0, -128.7852
1449315.0, -129.0425
1449315.0, -129.0332
1449315.0, -128.8523
1449315.0, -128.2483
1449315.0, -127.8514
1449316.0, -127.6617
1449316.0, -127.3937
1449316.0, -127.1427
1449316.0, -127.0807
1449316.0, -127.1502
1449316.0, -127.2056
1449316.0, -127.2954
1449316.0, -127.6853
1449317.0, -128.2865
1449317.0, -128.0181
1449317.0, -128.235
1449317.0, -128.9373
1449317.0, -129.0478
1449317.0, -128.9255
1449317.0, -128.7254
1449318.0, -128.396
1449318.0, -128.4416
1449318.0, -128.6939
1449318.0, -128.4934
1449318.0, -128.0599
1449318.0, -127.443
1449318.0, -127.3259
1449318.0, -127.7084
1449319.0, -127.7084
1449319.0, -127.6198
1449319.0, -127.7331
1449319.0, -127.9516
1449319.0, -128.2918
1449319.0, -128.7482
1449319.0, -129.139
1449320.0, -129.5247
1449320.0, -129.2354
1449320.0, -129.0619
1449320.0, -129.0042
1449320.0, -129.3136
1449320.0, -129.9063
1449320.0, -129.8064
1449320.0, -129.3393
1449321.0, -129.2386
1449321.0, -129.2598
1449321.0, -128.7766
1449321.0, -127.9978
1449321.0, -127.7516
1449321.0, -127.8999
1449321.0, -128.4428
1449322.0, -128.3382
1449322.0, -127.9334
