% Measurement ID: 1726
% Mode ID: S
% Date and time: 2020-07-15 08:26:28
% Sample ID: SPT10-27
% Measurement type: spectrum
% Frequency [Hz]: 1404839.420081828
% Quality factor: 55568.35988572393
% Temperature [K]: 293.0
% Pressure [mBar]: 6.35e-08
% Notes: 
% 
%
% measurement data
% frequency [Hz], power [dBm]
1404796.0, -120.5964
1404796.0, -120.5623
1404796.0, -120.7417
1404796.0, -121.1347
1404797.0, -121.1395
1404797.0, -120.9568
1404797.0, -120.8628
1404797.0, -120.7654
1404797.0, -120.713
1404797.0, -120.6894
1404797.0, -121.5267
1404797.0, -121.741
1404798.0, -121.3322
1404798.0, -121.2445
1404798.0, -121.163
1404798.0, -121.2866
1404798.0, -121.5488
1404798.0, -121.7202
1404798.0, -121.8771
1404799.0, -121.8223
1404799.0, -121.6215
1404799.0, -121.9534
1404799.0, -122.3182
1404799.0, -122.716
1404799.0, -122.554
1404799.0, -122.0298
1404799.0, -121.7243
1404800.0, -121.4438
1404800.0, -121.2513
1404800.0, -121.1259
1404800.0, -120.799
1404800.0, -120.3603
1404800.0, -120.414
1404800.0, -120.4707
1404801.0, -120.5303
1404801.0, -120.6486
1404801.0, -120.807
1404801.0, -120.702
1404801.0, -120.4347
1404801.0, -120.4955
1404801.0, -120.7208
1404801.0, -121.1253
1404802.0, -121.7043
1404802.0, -122.0859
1404802.0, -121.8051
1404802.0, -120.8618
1404802.0, -120.4656
1404802.0, -120.2133
1404802.0, -120.0441
1404803.0, -119.9784
1404803.0, -119.9121
1404803.0, -119.8799
1404803.0, -119.5982
1404803.0, -119.1614
1404803.0, -118.9158
1404803.0, -118.8373
1404803.0, -118.9261
1404804.0, -119.0619
1404804.0, -119.2848
1404804.0, -119.4802
1404804.0, -119.6863
1404804.0, -119.8698
1404804.0, -120.0418
1404804.0, -120.0769
1404805.0, -120.0169
1404805.0, -119.5369
1404805.0, -119.2511
1404805.0, -119.1596
1404805.0, -118.9714
1404805.0, -118.7836
1404805.0, -118.7344
1404805.0, -118.7777
1404806.0, -118.8097
1404806.0, -118.8649
1404806.0, -118.9974
1404806.0, -119.1894
1404806.0, -119.9676
1404806.0, -120.1671
1404806.0, -119.7877
1404807.0, -119.6103
1404807.0, -119.3745
1404807.0, -119.3477
1404807.0, -119.4408
1404807.0, -119.4873
1404807.0, -119.5427
1404807.0, -119.539
1404807.0, -119.499
1404808.0, -118.6956
1404808.0, -118.3912
1404808.0, -118.5859
1404808.0, -118.6162
1404808.0, -118.7034
1404808.0, -118.7278
1404808.0, -118.7293
1404809.0, -118.8005
1404809.0, -118.9104
1404809.0, -118.8908
1404809.0, -118.7978
1404809.0, -118.4531
1404809.0, -118.3362
1404809.0, -118.4469
1404809.0, -118.6164
1404810.0, -118.9009
1404810.0, -118.6739
1404810.0, -118.1443
1404810.0, -117.7435
1404810.0, -117.3278
1404810.0, -117.294
1404810.0, -117.5099
1404811.0, -117.834
1404811.0, -117.8865
1404811.0, -117.6673
1404811.0, -117.7639
1404811.0, -117.9804
1404811.0, -118.2483
1404811.0, -118.5904
1404811.0, -118.5686
1404812.0, -118.3288
1404812.0, -118.1461
1404812.0, -117.9288
1404812.0, -117.9947
1404812.0, -117.9589
1404812.0, -117.8213
1404812.0, -117.5832
1404813.0, -117.2443
1404813.0, -117.2367
1404813.0, -117.4163
1404813.0, -117.3937
1404813.0, -117.2989
1404813.0, -117.4984
1404813.0, -117.8701
1404813.0, -117.5181
1404814.0, -117.3027
1404814.0, -117.2239
1404814.0, -117.2328
1404814.0, -117.3457
1404814.0, -117.6233
1404814.0, -118.0454
1404814.0, -118.2988
1404815.0, -118.4878
1404815.0, -117.8238
1404815.0, -117.6121
1404815.0, -117.8528
1404815.0, -117.5309
1404815.0, -116.9849
1404815.0, -116.8528
1404815.0, -116.9219
1404816.0, -116.97
1404816.0, -117.0712
1404816.0, -117.0797
1404816.0, -117.044
1404816.0, -116.7134
1404816.0, -116.4225
1404816.0, -116.1711
1404817.0, -116.1071
1404817.0, -116.181
1404817.0, -116.2122
1404817.0, -116.261
1404817.0, -116.2675
1404817.0, -116.2517
1404817.0, -116.1703
1404817.0, -116.0377
1404818.0, -116.3253
1404818.0, -116.2483
1404818.0, -115.8066
1404818.0, -115.9223
1404818.0, -116.288
1404818.0, -116.5348
1404818.0, -116.7856
1404819.0, -116.7925
1404819.0, -116.638
1404819.0, -116.4979
1404819.0, -116.3136
1404819.0, -116.1685
1404819.0, -116.0513
1404819.0, -115.9623
1404819.0, -115.5499
1404820.0, -114.9313
1404820.0, -114.6542
1404820.0, -114.536
1404820.0, -114.2433
1404820.0, -113.8872
1404820.0, -113.9309
1404820.0, -114.2199
1404821.0, -114.8469
1404821.0, -114.7625
1404821.0, -113.9666
1404821.0, -113.678
1404821.0, -113.4905
1404821.0, -113.4335
1404821.0, -113.4972
1404821.0, -113.5596
1404822.0, -113.6612
1404822.0, -113.8536
1404822.0, -114.1196
1404822.0, -113.9321
1404822.0, -113.8081
1404822.0, -113.7476
1404822.0, -113.6826
1404823.0, -113.6357
1404823.0, -113.6648
1404823.0, -113.7506
1404823.0, -113.6201
1404823.0, -113.3642
1404823.0, -113.1897
1404823.0, -113.0277
1404823.0, -113.1267
1404824.0, -113.1345
1404824.0, -113.051
1404824.0, -112.9547
1404824.0, -112.8192
1404824.0, -112.8836
