% Measurement ID: 251
% Mode ID: 2
% Date and time: 2018-06-20 22:18:40
% Sample ID: 0711
% Measurement type: ringdown
% Frequency [Hz]: 404482.0
% Quality factor: 2471659.8666
% Temperature [K]: 293.0
% Pressure [mBar]: 1.07e-07
% Notes: 
% Excitation: Corner
%
% measurement data
% time [s], power [dBm]
0.015, 111.35452743148788
0.03, 111.35599752044662
0.045, 111.35673232650741
0.06, 111.35893722152694
0.075, 111.36114211654647
0.09, 111.3640818176268
0.105, 111.36628671264633
0.12, 111.36775632476791
0.135, 111.36849160766586
0.15, 111.36922641372665
0.165, 111.36996121978744
0.18, 111.36996121978744
0.195, 111.36922641372665
0.21, 111.36849160766586
0.225, 111.36775632476791
0.24, 111.36555142974838
0.255, 111.3640818176268
0.27, 111.3640818176268
0.285, 111.363347011566
0.3, 111.36261172866806
0.315, 111.36187692260727
0.33, 111.36114211654647
0.345, 111.35893722152694
0.36, 111.35820241546615
0.375, 111.35673232650741
0.39, 111.35526271438583
0.405, 111.35452743148788
0.42, 111.35379262542709
0.435, 111.3530578193663
0.45, 111.35526271438583
0.465, 111.3574671325682
0.48, 111.35967202758773
0.495, 111.363347011566
0.51, 111.36702151870712
0.525, 111.36996121978744
0.54, 111.37143130874618
0.555, 111.37290092086776
0.57, 111.37290092086776
0.585, 111.37216611480697
0.6, 111.36996121978744
0.615, 111.36775632476791
0.63, 111.36481662368759
0.645, 111.36261172866806
0.66, 111.36040731048568
0.675, 111.35820241546615
0.69, 111.3574671325682
0.705, 111.3574671325682
0.72, 111.3574671325682
0.735, 111.3574671325682
0.75, 111.3574671325682
0.765, 111.3574671325682
0.78, 111.3574671325682
0.795, 111.3574671325682
0.81, 111.35673232650741
0.825, 111.35599752044662
0.84, 111.35526271438583
0.855, 111.35526271438583
0.87, 111.35599752044662
0.885, 111.35673232650741
0.9, 111.35893722152694
0.915, 111.36114211654647
0.93, 111.36261172866806
0.945, 111.36481662368759
0.96, 111.36628671264633
0.975, 111.36702151870712
0.99, 111.36775632476791
1.005, 111.36775632476791
1.02, 111.36775632476791
1.035, 111.36702151870712
1.05, 111.36555142974838
1.065, 111.36481662368759
1.08, 111.363347011566
1.095, 111.36261172866806
1.11, 111.36261172866806
1.125, 111.36261172866806
1.14, 111.36261172866806
1.155, 111.36261172866806
1.17, 111.36261172866806
1.185, 111.36187692260727
1.2, 111.36040731048568
1.215, 111.35967202758773
1.23, 111.35893722152694
1.245, 111.35893722152694
1.26, 111.35893722152694
1.275, 111.35893722152694
1.29, 111.35967202758773
1.305, 111.36114211654647
1.32, 111.36187692260727
1.335, 111.363347011566
1.35, 111.3640818176268
1.365, 111.36481662368759
1.38, 111.36555142974838
1.395, 111.36628671264633
1.41, 111.36775632476791
1.425, 111.36922641372665
1.44, 111.36996121978744
1.455, 111.37069602584823
1.47, 111.37069602584823
1.485, 111.37143130874618
1.5, 111.37290092086776
1.515, 111.37290092086776
1.53, 111.3743710098265
1.545, 111.37657590484604
1.56, 111.37804551696762
1.575, 111.37878032302841
1.59, 111.37951560592636
1.605, 111.37951560592636
1.62, 111.38025041198715
1.635, 111.37951560592636
1.65, 111.37804551696762
1.665, 111.37584062194809
1.68, 111.37363572692855
1.695, 111.37069602584823
1.71, 111.36849160766586
1.725, 111.36481662368759
1.74, 111.35893722152694
1.755, 111.3464431343077
1.77, 111.31557603454574
1.785, 111.25163646316513
1.8, 111.12522740936264
1.815, 110.90180678939804
1.83, 110.53801293945297
1.845, 109.98240132904037
1.86, 109.18425984954818
1.875, 108.09581895446763
1.89, 106.65607877349842
1.905, 104.81653256988513
1.92, 102.52646966552723
1.935, 99.73518128967272
1.95, 96.40444894409163
1.965, 92.45490022277812
1.98, 87.84905381774882
1.995, 82.56485887145982
2.01, 76.69859452819813
2.025, 70.68460984802232
2.04, 65.40556092834453
2.055, 61.430291610717624
2.07, 58.736749130248825
2.085, 56.984658676147326
2.1, 55.84624238586412
2.115, 55.09660859680162
2.13, 54.58509202575672
2.145, 54.22423692321762
2.16, 53.95892472839343
2.175, 53.754617172241026
2.19, 53.589250045776225
2.205, 53.44887681579573
2.22, 53.326142745971524
2.235, 53.218110519409024
2.25, 53.12036271667462
2.265, 53.03290696716293
2.28, 52.957208114623825
2.295, 52.89032884216293
2.31, 52.83153672790512
2.325, 52.77787919616682
2.34, 52.72496934509262
2.355, 52.67057939147932
2.37, 52.61031480407702
2.385, 52.54490800476063
2.4, 52.47435136413563
2.415, 52.40232987976063
2.43, 52.33030839538563
2.445, 52.25901933288563
2.46, 52.19066758728012
2.475, 52.12378831481922
2.49, 52.05911393737772
2.505, 51.99296708679182
2.52, 51.92535539245593
2.535, 51.85700364685043
2.55, 51.78645463561992
2.565, 51.71589799499492
2.58, 51.64534898376452
2.595, 51.576264816284024
2.61, 51.507913070678526
2.625, 51.43956132507313
2.64, 51.36974473571762
2.655, 51.29698320007313
2.67, 51.21907945251452
2.685, 51.13530107116682
2.7, 51.044900375366026
2.715, 50.948625045776225
2.73, 50.84793992614732
2.745, 50.745782333373825
2.76, 50.64803453063952
2.775, 50.55323167419422
2.79, 50.46724076843242
2.805, 50.39007707214343
2.82, 50.32172532653793
2.835, 50.259255844116026
2.85, 50.20119615173323
2.865, 50.14240403747543
2.88, 50.081399398803526
2.895, 50.01599259948712
2.91, 49.94543595886212
2.925, 49.86900468444813
2.94, 49.78962846374492
2.955, 49.70731492614732
2.97, 49.62720628356922
2.985, 49.55151506042462
3.0, 49.48095841979962
3.015, 49.41701646423323
3.03, 49.35749192810043
3.045, 49.30236955261212
3.06, 49.24871965026843
3.075, 49.19359727478012
3.09, 49.13627000427232
3.105, 49.07380052185043
3.12, 49.00692124938952
3.135, 48.937837081909024
3.15, 48.86361070251452
3.165, 48.78791184997543
3.18, 48.712212997436325
3.195, 48.63578172302232
3.21, 48.56008287048323
3.225, 48.485856491088725
3.24, 48.41236253356922
3.255, 48.34180589294422
3.27, 48.272721725463725
3.285, 48.20584245300272
3.3, 48.141168075561325
3.315, 48.07943101501452
3.33, 48.01843400573712
3.345, 47.95964189147932
3.36, 47.904519515991026
3.375, 47.85307450866682
3.39, 47.80677171325672
3.405, 47.76487870788563
3.42, 47.725190597534024
3.435, 47.68403764343242
3.45, 47.63773484802232
3.465, 47.580415206909024
3.48, 47.50838609313952
3.495, 47.42166276550272
3.51, 47.319512802123825
3.525, 47.20633073425272
3.54, 47.08947129821762
3.555, 46.977029281616026
3.57, 46.87560411071762
3.585, 46.78814836120593
3.6, 46.71612687683093
3.615, 46.656594711303526
3.63, 46.605889755248825
3.645, 46.55738206481922
3.66, 46.50814195251452
3.675, 46.45449205017073
3.69, 46.39422746276843
3.705, 46.32734819030742
3.72, 46.25164933776843
3.735, 46.167863327026225
3.75, 46.07673020935043
3.765, 45.978982406616026
3.78, 45.87683244323712
3.795, 45.774674850463725
3.81, 45.678399520873825
3.825, 45.59240861511212
3.84, 45.52111955261212
3.855, 45.464532333373825
3.87, 45.42043443298323
3.885, 45.38736100769022
3.9, 45.36016984558093
3.915, 45.335183578491026
3.93, 45.30725236511212
3.945, 45.27124162292462
3.96, 45.228616195678526
3.975, 45.17643113708482
3.99, 45.11249681091293
4.005, 45.04120774841293
4.02, 44.964776473998825
4.035, 44.883927780151225
4.05, 44.801614242553526
4.065, 44.71930070495593
4.08, 44.63845964050272
4.095, 44.55909104919422
4.11, 44.479714828491026
4.125, 44.39960618591293
4.14, 44.31582017517073
4.155, 44.22615953063952
4.17, 44.13135667419422
4.185, 44.02993150329573
4.2, 43.92630906677232
4.215, 43.824151473998825
4.23, 43.728608566284024
4.245, 43.64262528991682
4.26, 43.56913133239732
4.275, 43.50812669372543
4.29, 43.45961900329573
4.305, 43.420670944213725
4.32, 43.38759751892073
4.335, 43.35526414489732
4.35, 43.31925340270982
4.365, 43.277360397338725
4.38, 43.22738023376452
4.395, 43.170793014526225
4.41, 43.111260848998825
4.425, 43.05540605163563
4.44, 43.00837083435043
4.455, 42.97456498718242
4.47, 42.95251603698712
4.485, 42.93708177185043
4.5, 42.92385240173323
4.515, 42.90474839782702
4.53, 42.875344711303526
4.545, 42.83051438903793
4.56, 42.77245469665512
4.575, 42.70263810729962
4.59, 42.624001937866026
4.605, 42.54315324401843
4.62, 42.46378465270982
4.635, 42.38808580017073
4.65, 42.31606431579573
4.665, 42.244035202026225
4.68, 42.16980882263172
4.695, 42.09190507507313
4.71, 42.00885911560043
4.725, 41.921403366088725
4.74, 41.83247514343242
4.755, 41.74575181579573
4.77, 41.66343827819813
4.785, 41.587739425659024
4.8, 41.52379747009262
4.815, 41.470147567748825
4.83, 41.42825456237772
4.845, 41.39592118835432
4.86, 41.36946244811992
4.875, 41.34300370788563
4.89, 41.315080123901225
4.905, 41.28200669860823
4.92, 41.243791061401225
4.935, 41.19969316101063
4.95, 41.15118547058093
4.965, 41.09533067321762
4.98, 41.03286119079573
4.995, 40.96083970642073
5.01, 40.87852616882313
5.025, 40.78592057800272
5.04, 40.68670793151843
5.055, 40.57940812683093
5.07, 40.46549363708482
5.085, 40.34863420104962
5.1, 40.22957749938952
5.115, 40.114922958373825
5.13, 40.00836320495593
5.145, 39.91796250915512
5.16, 39.84520860290512
5.175, 39.793755966186325
5.19, 39.75921769714343
5.205, 39.73790116882313
5.22, 39.722466903686325
5.235, 39.70704026794422
5.25, 39.68131394958482
5.265, 39.64236589050272
5.28, 39.58430619811992
5.295, 39.50492997741682
5.31, 39.410859542846524
5.325, 39.307229476928526
5.34, 39.20433946228012
5.355, 39.11026902770982
5.37, 39.031632858276225
5.385, 38.96916337585432
5.4, 38.91992326354962
5.415, 38.879495101928526
5.43, 38.842019515991026
5.445, 38.80306382751452
5.46, 38.76043840026843
5.475, 38.71413560485823
5.49, 38.65975328063952
5.505, 38.59581132507313
5.52, 38.51717515563952
5.535, 38.41869493103012
5.55, 38.29963059997543
5.565, 38.15999742126452
5.58, 38.009332138061325
5.595, 37.85720201110823
5.61, 37.71609635925272
5.625, 37.594827133178526
5.64, 37.49707933044422
5.655, 37.416238265991026
5.67, 37.342744308471524
5.685, 37.26631303405742
5.7, 37.18106217956522
5.715, 37.08625169372543
5.73, 36.988503890991026
5.745, 36.89663835144022
5.76, 36.81873460388172
5.775, 36.759210067748825
5.79, 36.70996232604962
5.805, 36.65998979186992
5.82, 36.596047836303526
5.835, 36.50932450866682
