% Measurement ID: 3157
% Mode ID: 1
% Date and time: 2020-02-03 17:37:14
% Sample ID: PSE2-68
% Measurement type: spectrum
% Frequency [Hz]: 37866.91253589905
% Quality factor: 5833.688551602869
% Temperature [K]: 293.0
% Pressure [mBar]: 4.22e-08
% Notes: 
% 
%
% measurement data
% frequency [Hz], power [dBm]
37816.88, -88.67297
37816.88, -88.8034
37816.88, -88.91144
37816.88, -88.99708
37817.88, -89.16561
37817.88, -89.38193
37817.88, -89.27286
37817.88, -88.96279
37817.88, -88.78052
37817.88, -88.61645
37817.88, -88.67953
37817.88, -88.65886
37818.88, -88.55443
37818.88, -88.58122
37818.88, -88.66758
37818.88, -88.77346
37818.88, -88.91222
37818.88, -89.02718
37818.88, -89.13723
37819.88, -88.9106
37819.88, -88.4579
37819.88, -88.33549
37819.88, -88.41027
37819.88, -88.68223
37819.88, -88.69697
37819.88, -88.60595
37819.88, -88.20537
37820.88, -87.56316
37820.88, -87.20183
37820.88, -86.9472
37820.88, -86.82523
37820.88, -86.82726
37820.88, -87.28367
37820.88, -87.53875
37821.88, -87.59252
37821.88, -87.66179
37821.88, -87.67429
37821.88, -87.77672
37821.88, -87.92017
37821.88, -88.26644
37821.88, -88.76159
37821.88, -88.60355
37822.88, -88.0597
37822.88, -88.03023
37822.88, -88.06166
37822.88, -88.15398
37822.88, -88.5552
37822.88, -89.18263
37822.88, -89.01389
37823.88, -88.38976
37823.88, -88.24332
37823.88, -88.26354
37823.88, -88.06922
37823.88, -87.78744
37823.88, -87.55823
37823.88, -87.40422
37823.88, -87.32542
37824.88, -87.25286
37824.88, -87.20953
37824.88, -87.29756
37824.88, -87.48291
37824.88, -87.50944
37824.88, -87.46253
37824.88, -87.31239
37825.88, -87.06893
37825.88, -87.29871
37825.88, -87.45475
37825.88, -87.53707
37825.88, -87.69834
37825.88, -87.88768
37825.88, -88.25267
37825.88, -88.74413
37826.88, -88.78051
37826.88, -88.55567
37826.88, -88.49016
37826.88, -88.44381
37826.88, -88.23907
37826.88, -88.14884
37826.88, -88.17312
37827.88, -88.10199
37827.88, -88.00542
37827.88, -87.73396
37827.88, -87.33743
37827.88, -86.95177
37827.88, -86.53166
37827.88, -86.52964
37827.88, -86.79488
37828.88, -87.15548
37828.88, -87.54322
37828.88, -87.95811
37828.88, -88.10377
37828.88, -88.079
37828.88, -87.96811
