% Measurement ID: 3227
% Mode ID: 1
% Date and time: 2020-02-03 15:10:30
% Sample ID: PSE2-58-14
% Measurement type: spectrum
% Frequency [Hz]: 113540.01645150511
% Quality factor: -8600.395394455787
% Temperature [K]: 293.0
% Pressure [mBar]: 4.22e-08
% Notes: 
% 
%
% measurement data
% frequency [Hz], power [dBm]
113383.0, -92.69992
113383.0, -92.92015
113384.0, -92.90508
113384.0, -92.90848
113385.0, -93.0221
113385.0, -92.97586
113385.0, -92.76976
113386.0, -92.47284
113386.0, -92.2957
113387.0, -92.27515
113387.0, -92.5415
113387.0, -92.64036
113388.0, -92.57173
113388.0, -92.33116
113389.0, -92.32687
113389.0, -91.99335
113389.0, -91.88725
113390.0, -92.00855
113390.0, -92.52923
113391.0, -93.0038
113391.0, -92.45713
113391.0, -92.07093
113392.0, -91.91853
113392.0, -91.99993
113393.0, -91.78029
113393.0, -91.8332
113393.0, -91.86058
113394.0, -91.83539
113394.0, -91.75762
113395.0, -91.94703
113395.0, -92.08889
113395.0, -92.29723
113396.0, -92.21563
113396.0, -92.11831
113397.0, -92.00528
113397.0, -91.85043
113397.0, -91.67588
113398.0, -91.86245
113398.0, -91.89635
113399.0, -91.77757
113399.0, -91.97845
113399.0, -92.14336
113400.0, -92.51509
113400.0, -92.63682
113401.0, -92.63201
113401.0, -92.50066
113401.0, -92.13394
113402.0, -91.58184
113402.0, -91.53254
113403.0, -91.44369
113403.0, -91.31528
113403.0, -91.2045
113404.0, -91.26569
113404.0, -91.53021
113405.0, -92.08252
113405.0, -92.41871
113405.0, -92.53878
113406.0, -92.44601
113406.0, -91.872
113407.0, -91.58816
113407.0, -91.48125
113407.0, -91.55127
113408.0, -91.1592
113408.0, -90.97743
113409.0, -90.92363
113409.0, -90.81065
113409.0, -90.83635
113410.0, -91.00074
113410.0, -91.37459
113411.0, -91.79231
113411.0, -91.74289
113411.0, -91.73003
113412.0, -91.75376
113412.0, -91.79736
113413.0, -92.04757
113413.0, -91.73792
113413.0, -91.72183
113414.0, -91.77648
113414.0, -91.9019
113415.0, -92.23779
113415.0, -91.79681
113415.0, -91.58689
113416.0, -91.59077
113416.0, -91.80844
113417.0, -92.0176
113417.0, -92.37621
113417.0, -92.53114
113418.0, -92.65453
113418.0, -92.65681
113419.0, -92.53798
113419.0, -92.52282
113419.0, -92.40232
113420.0, -91.95026
113420.0, -92.18977
113421.0, -92.13449
113421.0, -91.78441
113421.0, -91.73915
113422.0, -91.89871
113422.0, -92.29664
113423.0, -92.44738
113423.0, -92.35094
113423.0, -92.24204
113424.0, -91.99433
113424.0, -91.6251
113425.0, -91.66005
113425.0, -91.67603
113425.0, -91.67304
113426.0, -92.04103
113426.0, -92.63941
113427.0, -92.58859
113427.0, -92.56933
113427.0, -92.58163
113428.0, -92.49858
113428.0, -92.1161
113429.0, -91.86122
113429.0, -91.85515
113429.0, -91.84126
113430.0, -91.81957
113430.0, -91.8768
113431.0, -91.92605
113431.0, -92.42313
113431.0, -92.59932
113432.0, -92.45463
113432.0, -92.86271
113433.0, -93.17291
113433.0, -93.05131
113433.0, -92.94053
113434.0, -92.84575
113434.0, -92.76696
113435.0, -92.54473
113435.0, -92.19856
113435.0, -91.57674
113436.0, -91.30645
113436.0, -91.38767
113437.0, -91.46083
113437.0, -91.624
113437.0, -92.04435
113438.0, -92.37417
113438.0, -92.55839
113439.0, -92.597
113439.0, -92.8864
113439.0, -93.30564
113440.0, -93.06362
113440.0, -92.99079
113441.0, -93.08715
113441.0, -93.01042
113441.0, -93.06273
113442.0, -92.79447
113442.0, -92.46308
113443.0, -92.28638
113443.0, -92.26437
113443.0, -92.3636
113444.0, -92.18145
113444.0, -92.16128
113445.0, -92.21403
113445.0, -92.33969
113445.0, -92.43624
113446.0, -92.7777
113446.0, -92.84925
113447.0, -92.787
