% Measurement ID: 3228
% Mode ID: 1
% Date and time: 2020-02-03 15:13:36
% Sample ID: PSE2-58-21
% Measurement type: spectrum
% Frequency [Hz]: 111426.77547472664
% Quality factor: 1608.7001006825635
% Temperature [K]: 293.0
% Pressure [mBar]: 4.22e-08
% Notes: 
% 
%
% measurement data
% frequency [Hz], power [dBm]
110940.0, -86.9802
110941.0, -87.615
110943.0, -87.97997
110944.0, -88.07509
110945.0, -88.36417
110947.0, -88.69261
110948.0, -88.60385
110949.0, -88.25008
110951.0, -87.91243
110952.0, -87.4972
110953.0, -87.29221
110955.0, -87.09347
110956.0, -86.90097
110957.0, -86.65446
110959.0, -86.37402
110960.0, -86.29118
110961.0, -86.32876
110963.0, -86.38892
110964.0, -86.50427
110965.0, -86.79409
110967.0, -87.21862
110968.0, -87.48264
110969.0, -87.55965
110971.0, -87.44965
110972.0, -87.21166
110973.0, -86.82601
110975.0, -86.91417
110976.0, -87.26898
110977.0, -87.28538
110979.0, -87.16504
110980.0, -87.11831
110981.0, -87.07508
110983.0, -87.375
110984.0, -87.52025
110985.0, -87.51084
110987.0, -87.44697
110988.0, -87.29525
110989.0, -87.15004
110991.0, -86.97989
110992.0, -86.86968
110993.0, -86.79113
110995.0, -86.80249
110996.0, -86.88434
110997.0, -87.05383
110999.0, -87.31208
111000.0, -87.65908
111001.0, -87.81341
111003.0, -87.86887
111004.0, -87.92904
111005.0, -87.9594
111007.0, -88.11646
111008.0, -88.34804
111009.0, -88.34329
111011.0, -88.20583
111012.0, -87.87058
111013.0, -87.45616
111015.0, -86.96256
111016.0, -86.67517
111017.0, -86.49886
111019.0, -86.5638
111020.0, -86.82658
111021.0, -87.21009
111023.0, -87.74002
111024.0, -87.87048
111025.0, -87.78344
111027.0, -87.74517
111028.0, -87.82428
111029.0, -88.02076
111031.0, -88.07687
111032.0, -88.07852
111033.0, -88.05384
111035.0, -87.99344
111036.0, -88.00171
111037.0, -88.04386
111039.0, -87.84251
111040.0, -87.49012
111041.0, -87.19385
111043.0, -87.22975
111044.0, -87.5978
111045.0, -87.81153
111047.0, -88.03308
111048.0, -88.12388
111049.0, -88.13012
111051.0, -88.18549
111052.0, -88.24542
111053.0, -88.06714
111055.0, -87.73158
111056.0, -87.65222
111057.0, -87.38301
111059.0, -86.92393
111060.0, -86.74753
111061.0, -86.69629
111063.0, -86.72398
111064.0, -86.84603
111065.0, -87.07631
111067.0, -87.41019
111068.0, -87.648
111069.0, -87.85629
111071.0, -88.14411
111072.0, -88.1856
111073.0, -87.98078
111075.0, -87.94236
111076.0, -87.93278
111077.0, -87.71976
111079.0, -87.38072
111080.0, -87.19757
111081.0, -87.07636
111083.0, -87.06307
111084.0, -87.14238
111085.0, -87.49439
111087.0, -87.52332
111088.0, -87.22917
111089.0, -87.19594
111091.0, -87.22895
111092.0, -87.17141
111093.0, -87.07556
111095.0, -87.00331
111096.0, -86.93401
111097.0, -87.0318
111099.0, -87.24198
111100.0, -87.69229
111101.0, -87.69182
111103.0, -87.24057
111104.0, -87.12173
111105.0, -87.07424
111107.0, -87.09039
111108.0, -87.17274
111109.0, -87.22218
111111.0, -87.27176
111112.0, -87.26841
111113.0, -87.22983
111115.0, -87.17823
111116.0, -87.12404
111117.0, -87.06725
111119.0, -87.02065
111120.0, -86.97998
111121.0, -86.87761
111123.0, -86.7361
111124.0, -86.67442
111125.0, -86.65291
111127.0, -87.03866
111128.0, -87.40521
111129.0, -87.75256
111131.0, -87.92073
111132.0, -87.96305
111133.0, -88.06287
111135.0, -88.15906
111136.0, -88.28261
111137.0, -88.42318
111139.0, -88.28716
111140.0, -87.97242
111141.0, -87.68609
111143.0, -87.55311
111144.0, -87.57348
111145.0, -87.63388
111147.0, -87.77209
111148.0, -87.82564
111149.0, -87.84868
111151.0, -87.8884
111152.0, -87.92909
111153.0, -87.84548
111155.0, -87.67932
111156.0, -87.86838
111157.0, -88.01454
111159.0, -88.1178
111160.0, -87.84935
111161.0, -87.31878
111163.0, -87.01945
111164.0, -86.78691
111165.0, -86.63822
111167.0, -86.56771
111168.0, -86.68516
111169.0, -86.95398
111171.0, -87.50714
111172.0, -87.68421
111173.0, -87.48519
111175.0, -87.39385
111176.0, -87.24893
111177.0, -87.05689
111179.0, -86.81559
111180.0, -86.73579
111181.0, -86.74723
111183.0, -86.88528
111184.0, -87.13816
111185.0, -87.99824
111187.0, -88.33957
111188.0, -88.16214
111189.0, -87.8879
111191.0, -87.37619
111192.0, -87.0534
111193.0, -86.7774
111195.0, -86.82552
111196.0, -87.1053
111197.0, -87.37985
111199.0, -87.72815
111200.0, -87.1939
111201.0, -87.12665
111203.0, -87.52641
111204.0, -87.70494
111205.0, -87.89165
111207.0, -87.88771
111208.0, -87.75938
111209.0, -87.59179
111211.0, -87.35657
111212.0, -87.30666
111213.0, -87.35776
111215.0, -87.66141
111216.0, -87.66759
111217.0, -87.37627
111219.0, -87.24181
111220.0, -87.11273
111221.0, -87.10254
111223.0, -87.1734
111224.0, -87.3804
111225.0, -87.70518
111227.0, -87.65249
111228.0, -87.3874
111229.0, -86.95605
111231.0, -86.78051
111232.0, -86.86081
111233.0, -86.96616
111235.0, -87.17348
111236.0, -87.28347
111237.0, -87.36255
111239.0, -87.37069
111240.0, -87.32124
111241.0, -87.37166
111243.0, -87.46944
111244.0, -87.89456
111245.0, -87.98199
111247.0, -87.73175
111248.0, -87.54778
111249.0, -87.29542
111251.0, -86.98089
111252.0, -86.60211
111253.0, -86.43809
111255.0, -86.39584
111256.0, -86.4303
111257.0, -86.55649
111259.0, -86.63686
111260.0, -86.76732
111261.0, -86.94786
111263.0, -87.15968
111264.0, -87.40905
111265.0, -87.48829
111267.0, -87.46663
111268.0, -87.37572
111269.0, -87.20502
111271.0, -87.1407
111272.0, -87.1207
111273.0, -87.39053
111275.0, -87.54738
111276.0, -87.59125
111277.0, -87.66009
111279.0, -87.70791
111280.0, -87.83445
111281.0, -88.00647
111283.0, -88.03719
111284.0, -87.98887
111285.0, -87.94287
111287.0, -87.87208
111288.0, -87.37883
111289.0, -87.17671
111291.0, -87.26573
111292.0, -87.20415
111293.0, -87.13922
111295.0, -87.10831
111296.0, -87.09897
111297.0, -87.08803
111299.0, -87.08322
111300.0, -86.88122
111301.0, -86.82318
111303.0, -86.90911
111304.0, -86.85012
111305.0, -86.74252
111307.0, -86.66007
111308.0, -86.57818
111309.0, -86.51555
111311.0, -86.46596
111312.0, -86.33565
111313.0, -86.15588
111315.0, -86.31499
111316.0, -86.37317
111317.0, -86.33043
111319.0, -86.41522
