% Measurement ID: 3293
% Mode ID: 1
% Date and time: 2020-01-24 16:38:06
% Sample ID: PSE2-49
% Measurement type: ringdown
% Frequency [Hz]: 3391.49000000003
% Quality factor: 1890.9503899389383
% Temperature [K]: 293.0
% Pressure [mBar]: 2.38e-07
% Notes: 
% 
%
% measurement data
% time [s], power [dBm]
0.006, -23.1627750396729
0.012, -22.8937892913818
0.018, -22.4888381958008
0.024, -22.0089244842529
0.03, -21.5099029541016
0.036, -21.0314598083496
0.042, -20.607400894165
0.048, -20.2619819641113
0.054, -20.0054893493652
0.06, -19.8511524200439
0.066, -19.8033809661865
0.072, -19.8033809661865
0.078, -19.8709945678711
0.084, -20.0539951324463
0.09, -20.355318069458
0.096, -20.7712917327881
0.102, -21.282808303833
0.108, -21.8612041473389
0.114, -22.4366588592529
0.12, -22.9356803894043
0.126, -23.2693424224854
0.132, -23.2605228424072
0.138, -22.9591979980469
0.144, -22.533670425415
0.15, -22.0442028045654
0.156, -21.5488548278809
0.162, -21.0836410522461
0.168, -20.6808948516846
0.174, -20.3619327545166
0.18, -20.1385116577148
0.186, -20.0238628387451
0.192, -20.009162902832
0.198, -20.0231266021729
0.204, -20.1421871185303
0.21, -20.382511138916
0.216, -20.7433643341064
0.222, -21.2107849121094
0.228, -21.7502269744873
0.234, -22.3087787628174
0.24, -22.8063316345215
0.246, -23.1561622619629
0.252, -23.1936435699463
0.258, -22.9011383056641
0.264, -22.4660568237305
0.27, -21.9538059234619
0.276, -21.4143619537354
0.282, -20.8969669342041
0.288, -20.426607131958
0.294, -20.0275363922119
0.3, -19.7181282043457
0.306, -19.5064659118652
0.312, -19.4021053314209
0.318, -19.3910808563232
0.324, -19.4094543457031
0.33, -19.5343933105469
0.336, -19.7769241333008
0.342, -20.1355724334717
0.348, -20.5978469848633
0.354, -21.1336154937744
0.36, -21.7031917572021
0.366, -22.227201461792
0.372, -22.6233329772949
0.378, -22.8026561737061
0.384, -22.5807056427002
0.39, -22.2095623016357
0.396, -21.7524318695068
0.402, -21.26149559021
0.408, -20.7859916687012
0.414, -20.355318069458
0.42, -19.9988746643066
0.426, -19.7328262329102
0.432, -19.5674667358398
0.438, -19.5108757019043
0.444, -19.5108757019043
0.45, -19.5689353942871
0.456, -19.746789932251
0.462, -20.0429706573486
0.468, -20.453800201416
0.474, -20.9609050750732
0.48, -21.5282764434814
0.486, -22.1007919311523
0.492, -22.5865859985352
0.498, -22.9106922149658
0.504, -22.9033432006836
0.51, -22.6027545928955
0.516, -22.1786956787109
0.522, -21.6951084136963
0.528, -21.1975555419922
0.534, -20.7323398590088
0.54, -20.3266563415527
0.546, -20.0025482177734
0.552, -19.7754535675049
0.558, -19.6512489318848
0.564, -19.6306705474854
0.57, -19.6402244567871
0.576, -19.7438507080078
0.582, -19.9658012390137
0.588, -20.3001976013184
0.594, -20.7418956756592
0.6, -21.2644348144531
0.606, -21.8178424835205
0.612, -22.3352375030518
0.618, -22.7321033477783
0.624, -22.9268608093262
0.63, -22.7093200683594
0.636, -22.3374423980713
0.642, -21.8663482666016
0.648, -21.3555660247803
0.654, -20.8477249145508
0.66, -20.3832454681396
0.666, -19.9834403991699
0.672, -19.6666831970215
0.678, -19.4476718902588
0.684, -19.3337574005127
0.69, -19.3190574645996
0.696, -19.3337574005127
0.702, -19.4498767852783
0.708, -19.685791015625
0.714, -20.0370903015137
0.72, -20.4964256286621
0.726, -21.035135269165
0.732, -21.5995655059814
0.738, -22.1272506713867
0.744, -22.5270557403564
0.75, -22.7063808441162
0.756, -22.4829597473145
0.762, -22.1029968261719
0.768, -21.6282291412354
0.774, -21.1211223602295
0.78, -20.6213645935059
0.786, -20.168643951416
0.792, -19.7828025817871
0.798, -19.4858875274658
0.804, -19.2896595001221
0.81, -19.2007331848145
0.816, -19.1963233947754
0.822, -19.2271900177002
0.828, -19.3712387084961
0.834, -19.635814666748
0.84, -20.0128383636475
0.846, -20.4905471801758
0.852, -21.035135269165
0.858, -21.5900115966797
0.864, -22.084623336792
0.87, -22.4300441741943
0.876, -22.4925136566162
0.882, -22.2235260009766
0.888, -21.815637588501
0.894, -21.3276386260986
0.9, -20.8153877258301
0.906, -20.3141613006592
0.912, -19.8614406585693
0.918, -19.4785385131836
0.924, -19.1830940246582
0.93, -18.989070892334
0.936, -18.90087890625
0.942, -18.8964691162109
0.948, -18.9273357391357
0.954, -19.0713844299316
0.96, -19.3359622955322
0.966, -19.7137184143066
0.972, -20.1951026916504
0.978, -20.7507133483887
0.984, -21.326904296875
0.99, -21.8523845672607
0.996, -22.244104385376
1.002, -22.4116706848145
1.008, -22.1838397979736
1.014, -21.805347442627
1.02, -21.3335189819336
1.026, -20.8249435424805
1.032, -20.3215103149414
1.038, -19.862174987793
1.044, -19.4667797088623
1.05, -19.1566371917725
1.056, -18.944974899292
1.062, -18.8406143188477
1.068, -18.8303241729736
1.074, -18.8501682281494
1.08, -18.9780464172363
1.086, -19.2264556884766
1.092, -19.5858402252197
1.098, -20.0466442108154
1.104, -20.5743293762207
1.11, -21.1115684509277
1.116, -21.5944213867188
1.122, -21.9435157775879
1.128, -22.04052734375
1.134, -21.8016738891602
1.14, -21.4224452972412
1.146, -20.9564971923828
1.152, -20.4618835449219
1.158, -19.9746208190918
1.164, -19.5314540863037
1.17, -19.1566371917725
1.176, -18.8656024932861
1.182, -18.6752529144287
1.188, -18.594409942627
1.194, -18.5922050476074
1.2, -18.6326274871826
1.206, -18.7943134307861
1.212, -19.0853481292725
1.218, -19.5005874633789
1.224, -20.0348854064941
