% Measurement ID: 3716
% Mode ID: S
% Date and time: 2021-01-08 09:59:44
% Sample ID: DP80-54
% Measurement type: ringdown
% Frequency [Hz]: 1355517.2
% Quality factor: 468022364.3667644
% Temperature [K]: 293.0
% Pressure [mBar]: 5.1e-09
% Notes: 
% Initial nolinear damping
%
% measurement data
% time [s], power [dBm]
0.3, -40.2485504150391
0.6, -40.2982444763184
0.9, -40.3632278442383
1.2, -40.4098625183105
1.5, -40.4626121520996
1.8, -40.5161285400391
2.1, -40.5719375610352
2.4, -40.6139831542969
2.7, -40.685848236084
3.0, -40.7370719909668
3.3, -40.7867622375488
3.6, -40.8333969116211
3.9, -40.8937950134277
4.2, -40.9366073608398
4.5, -40.9985313415527
4.8, -41.0390510559082
5.1, -41.0895080566406
5.4, -41.142261505127
5.7, -41.195011138916
6.0, -41.2431755065918
6.3, -41.3050994873047
6.6, -41.344856262207
6.9, -41.3960762023926
7.2, -41.4419479370117
7.5, -41.4862899780273
7.8, -41.5329246520996
8.1, -41.583381652832
8.4, -41.6346054077148
8.7, -41.6781806945801
9.0, -41.7179336547852
9.3, -41.7745094299316
9.6, -41.8180847167969
9.9, -41.8654861450195
10.2, -41.9037094116211
10.5, -41.9518737792969
10.8, -41.9923934936523
11.1, -42.0443801879883
11.4, -42.0795478820801
11.7, -42.1292419433594
12.0, -42.1682319641113
12.3, -42.2186889648438
12.6, -42.2630310058594
12.9, -42.3035469055176
13.2, -42.3509483337402
13.5, -42.4059944152832
13.8, -42.4411582946777
14.1, -42.4770927429199
14.4, -42.5267868041992
14.7, -42.5680694580078
15.0, -42.5971183776855
15.3, -42.6491050720215
15.6, -42.6911544799805
15.9, -42.7217330932617
16.2, -42.7798385620117
16.5, -42.8188285827637
16.8, -42.8601112365723
17.1, -42.9128608703613
17.4, -42.9503211975098
17.7, -42.9847259521484
18.0, -43.0267753601074
18.3, -43.0734100341797
18.6, -43.1039886474609
18.9, -43.1414489746094
19.2, -43.1819686889648
19.5, -43.2209587097168
19.8, -43.2584190368652
20.1, -43.3027610778809
20.4, -43.3555107116699
20.7, -43.3883857727051
21.0, -43.4212608337402
21.3, -43.4587211608887
21.6, -43.5091781616211
21.9, -43.5382308959961
22.2, -43.5856285095215
22.5, -43.6154441833496
22.8, -43.6444969177246
23.1, -43.681957244873
23.4, -43.7232398986816
23.7, -43.7576446533203
24.0, -43.8050422668457
24.3, -43.8524436950684
24.6, -43.8853149414063
24.9, -43.9181900024414
25.2, -43.949535369873
25.5, -43.9816436767578
25.8, -44.0443344116211
26.1, -44.0947914123535
26.4, -44.1368408203125
26.7, -44.1620674133301
27.0, -44.1895904541016
27.3, -44.2148208618164
