% Measurement ID: 3734
% Mode ID: S
% Date and time: 2021-01-14 07:15:56
% Sample ID: DP77-27
% Measurement type: ringdown
% Frequency [Hz]: 1412772.2
% Quality factor: 7958978.157294733
% Temperature [K]: 293.0
% Pressure [mBar]: 3e-08
% Notes: 
% 
%
% measurement data
% time [s], power [dBm]
0.06, -90.4483413696289
0.12, -86.6349792480469
0.18, -87.4774627685547
0.24, -86.6357421875
0.3, -86.4430847167969
0.36, -87.4927520751953
0.42, -86.1319274902344
0.48, -86.0065536499023
0.54, -86.9079055786133
0.6, -84.9293594360352
0.66, -85.6969223022461
0.72, -87.4231872558594
0.78, -93.5576019287109
0.84, -90.5469665527344
0.9, -96.364875793457
0.96, -89.5813903808594
1.02, -99.8785552978516
1.08, -89.7190017700195
1.14, -97.1622543334961
1.2, -91.4047470092773
1.26, -94.3412246704102
1.32, -92.374137878418
1.38, -99.1866760253906
1.44, -92.6027297973633
1.5, -105.48851776123
1.56, -89.5913314819336
1.62, -91.5958709716797
1.68, -85.6090087890625
1.74, -85.911750793457
1.8, -84.1579666137695
1.86, -86.3192367553711
1.92, -84.3773803710938
1.98, -91.129524230957
2.04, -84.8460235595703
2.1, -87.3910751342773
2.16, -84.6052093505859
2.22, -84.6052093505859
2.28, -85.2940292358398
2.34, -88.1051254272461
2.4, -84.765754699707
2.46, -84.765754699707
2.52, -84.6411361694336
2.58, -84.4568939208984
2.64, -83.2474365234375
2.7, -83.7611923217773
2.76, -85.2351608276367
2.82, -83.7596588134766
2.88, -81.9898223876953
2.94, -82.0525131225586
3.0, -81.1672134399414
3.06, -81.4332580566406
3.12, -81.0594177246094
3.18, -80.6137084960938
3.24, -80.0571441650391
3.3, -80.1397094726563
3.36, -80.7864837646484
3.42, -81.8675003051758
3.48, -82.5272750854492
3.54, -82.9171676635742
3.6, -84.7764587402344
3.66, -84.8314971923828
3.72, -84.0027770996094
3.78, -84.9522933959961
3.84, -84.9522933959961
3.9, -89.6150283813477
3.96, -85.0119247436523
4.02, -85.0119247436523
4.08, -84.8360900878906
4.14, -86.0898818969727
4.2, -85.0180435180664
4.26, -83.855224609375
4.32, -84.4324264526367
4.38, -83.7734222412109
4.44, -84.0081253051758
4.5, -85.3070220947266
4.56, -83.5410079956055
4.62, -83.6564483642578
4.68, -85.1801147460938
4.74, -89.6930084228516
4.8, -86.1365203857422
4.86, -89.5882720947266
4.92, -87.1556091308594
4.98, -91.0163726806641
5.04, -88.1433486938477
5.1, -89.3910293579102
5.16, -90.3726577758789
5.22, -101.830345153809
5.28, -93.7999496459961
5.34, -101.85327911377
5.4, -89.6066207885742
5.46, -91.9964752197266
5.52, -90.0760269165039
5.58, -109.100059509277
5.64, -94.2479553222656
5.7, -100.606369018555
5.76, -88.9208602905273
5.82, -88.6066436767578
5.88, -88.6066436767578
5.94, -99.1820907592773
6.0, -90.8726501464844
6.06, -95.4367599487305
6.12, -91.181510925293
6.18, -99.6736679077148
6.24, -90.7472686767578
6.3, -99.6010437011719
6.36, -91.5094833374023
6.42, -97.2325897216797
6.48, -90.5217361450195
6.54, -97.330451965332
6.6, -90.2526321411133
6.66, -103.977851867676
6.72, -95.7196273803711
6.78, -103.32649230957
6.84, -93.5201416015625
6.9, -106.514488220215
6.96, -91.949836730957
7.02, -100.738632202148
7.08, -92.7219924926758
7.14, -100.99779510498
7.2, -47.698558807373
7.26, -47.698558807373
7.32, -47.832347869873
7.38, -47.8675155639648
7.44, -47.7161407470703
7.5, -47.832347869873
7.56, -47.9875411987305
7.62, -47.7337265014648
7.68, -47.8124694824219
7.74, -47.9217948913574
7.8, -47.8071174621582
7.86, -47.7742462158203
7.92, -47.9164428710938
7.98, -47.8101768493652
8.04, -47.7902984619141
8.1, -47.8759231567383
8.16, -47.7757759094238
8.22, -47.8690452575684
8.28, -47.84228515625
8.34, -47.8017692565918
8.4, -47.7153778076172
8.46, -47.8958015441895
8.52, -47.8346405029297
8.58, -47.7528381347656
8.64, -47.8942718505859
8.7, -47.8124694824219
8.76, -47.803295135498
8.82, -47.8101768493652
8.88, -47.8277626037598
8.94, -47.7688941955566
9.0, -47.7910652160645
9.06, -47.9065055847168
9.12, -47.7971801757813
9.18, -47.792594909668
9.24, -47.8308181762695
9.3, -47.8086471557617
9.36, -47.7818908691406
9.42, -47.8476371765137
9.48, -47.7948875427246
9.54, -47.7643051147461
9.6, -47.8185882568359
9.66, -47.7895355224609
9.72, -47.7451934814453
9.78, -47.7773017883301
9.84, -47.845344543457
9.9, -47.7803611755371
9.96, -47.7933578491211
10.02, -47.7742462158203
10.08, -47.8644561767578
10.14, -47.779598236084
10.2, -47.7513084411621
10.26, -47.8308181762695
10.32, -47.7826538085938
10.38, -47.737548828125
10.44, -47.7092628479004
10.5, -47.8392295837402
10.56, -47.8415222167969
10.62, -47.6794471740723
10.68, -47.6496315002441
10.74, -47.7757759094238
10.8, -47.910327911377
10.86, -47.7574272155762
10.92, -47.6794471740723
10.98, -47.7161407470703
11.04, -47.8308181762695
11.1, -47.7650718688965
11.16, -47.7138481140137
11.22, -47.7497825622559
11.28, -47.8193511962891
11.34, -47.7352561950684
11.4, -47.7482528686523
11.46, -47.6886215209961
11.52, -47.8338775634766
11.58, -47.7681274414063
11.64, -47.6763877868652
11.7, -47.7291374206543
11.76, -47.7513084411621
11.82, -47.8094139099121
11.88, -47.7283744812012
11.94, -47.7008514404297
12.0, -47.7031440734863
12.06, -47.711555480957
12.12, -47.7719497680664
12.18, -47.7566604614258
12.24, -47.7207298278809
12.3, -47.763542175293
12.36, -47.7429008483887
12.42, -47.8025321960449
12.48, -47.6832695007324
12.54, -47.7107925415039
12.6, -47.682502746582
12.66, -47.7314338684082
12.72, -47.7237892150879
12.78, -47.7077331542969
12.84, -47.6947364807129
12.9, -47.6626281738281
12.96, -47.629753112793
13.02, -47.6190490722656
13.08, -47.7581901550293
13.14, -47.7291374206543
13.2, -47.6901473999023
13.26, -47.6228713989258
13.32, -47.5494804382324
13.38, -47.525016784668
13.44, -47.5464210510254
13.5, -47.587703704834
13.56, -47.6052894592285
13.62, -47.6962661743164
13.68, -47.7107925415039
13.74, -47.6442794799805
13.8, -47.5632400512695
13.86, -47.5601844787598
13.92, -47.5265426635742
13.98, -47.5173721313477
14.04, -47.4967269897461
14.1, -47.5418357849121
14.16, -47.5074310302734
14.22, -47.473030090332
14.28, -47.5158424377441
14.34, -47.4776153564453
14.4, -47.4095764160156
14.46, -47.3919906616211
14.52, -47.3614120483398
14.58, -47.3078956604004
14.64, -47.2436752319336
14.7, -47.2192115783691
14.76, -47.1458206176758
14.82, -47.0449028015137
14.88, -47.081600189209
14.94, -47.0189094543457
15.0, -46.9684524536133
15.06, -46.8881797790527
15.12, -46.8736534118652
15.18, -46.7933807373047
15.24, -46.7467460632324
15.3, -46.7941436767578
15.36, -46.7406311035156
15.42, -46.7253379821777
15.48, -46.735279083252
15.54, -46.6894073486328
15.6, -46.7108154296875
15.66, -46.6389503479004
15.72, -46.680233001709
15.78, -46.6855850219727
15.84, -46.7215156555176
15.9, -46.8308410644531
15.96, -46.8629493713379
16.02, -46.9845085144043
16.08, -47.0189094543457
16.14, -47.2337379455566
16.2, -47.2421455383301
16.26, -47.3598823547363
16.32, -47.4707336425781
16.38, -47.5036087036133
16.44, -47.6389274597168
16.5, -47.6702728271484
16.56, -47.7773017883301
16.62, -47.7658348083496
16.68, -47.832347869873
16.74, -47.8889198303223
16.8, -47.9225616455078
16.86, -47.9432029724121
16.92, -47.9959526062012
16.98, -47.9883079528809
17.04, -48.0013046264648
17.1, -48.015064239502
17.16, -48.0380020141602
17.22, -47.9982452392578
17.28, -47.8430519104004
17.34, -47.6236381530762
17.4, -47.3216552734375
17.46, -46.9562225341797
17.52, -46.7368087768555
17.58, -46.320915222168
17.64, -45.9088439941406
17.7, -45.642032623291
17.76, -45.1145210266113
17.82, -44.888988494873
17.88, -44.5633087158203
17.94, -44.3851776123047
18.0, -44.1527671813965
18.06, -44.0197448730469
18.12, -43.8416137695313
18.18, -43.7299957275391
18.24, -43.6520156860352
18.3, -43.5862693786621
18.36, -43.569450378418
18.42, -43.5511016845703
18.48, -43.5495719909668
18.54, -43.5449829101563
18.6, -43.645133972168
18.66, -43.6864166259766
18.72, -43.7965087890625
18.78, -43.88671875
18.84, -44.0082778930664
18.9, -44.1374778747559
18.96, -44.3874740600586
19.02, -44.5143814086914
19.08, -44.7766075134277
19.14, -44.9822616577148
19.2, -45.2123756408691
19.26, -45.495246887207
19.32, -45.7842292785645
19.38, -46.0648040771484
19.44, -46.3377342224121
19.5, -46.6741180419922
19.56, -46.843074798584
19.62, -47.2108039855957
19.68, -47.3422966003418
19.74, -47.5831184387207
19.8, -47.7658348083496
19.86, -47.9324989318848
19.92, -48.0035972595215
19.98, -48.047176361084
20.04, -47.9860153198242
20.1, -47.9730186462402
20.16, -47.7948875427246
20.22, -47.5670623779297
20.28, -47.4317436218262
20.34, -47.1909255981445
20.4, -47.0227317810059
20.46, -46.856071472168
20.52, -46.6611213684082
20.58, -46.5128059387207
20.64, -46.386661529541
20.7, -46.2307014465332
20.76, -46.1458435058594
20.82, -46.0961494445801
20.88, -46.043399810791
20.94, -46.0135803222656
21.0, -45.9990577697754
21.06, -45.9692420959473
21.12, -46.040340423584
21.18, -46.0602188110352
21.24, -46.1427841186523
21.3, -46.1940078735352
21.36, -46.3040962219238
21.42, -46.4340629577637
21.48, -46.4898719787598
21.54, -46.6328353881836
21.6, -46.6687660217285
21.66, -46.8514823913574
21.72, -46.9210548400879
21.78, -46.9577484130859
21.84, -47.0089721679688
21.9, -47.0158538818359
21.96, -46.9554557800293
22.02, -47.0013275146484
22.08, -46.9493408203125
22.14, -46.8583641052246
22.2, -46.7819137573242
22.26, -46.7391014099121
