% Measurement ID: 3753
% Mode ID: S
% Date and time: 2021-01-09 08:01:20
% Sample ID: DP81-44
% Measurement type: ringdown
% Frequency [Hz]: 1378377.3
% Quality factor: 107940923.36370392
% Temperature [K]: 293.0
% Pressure [mBar]: 3.68e-08
% Notes: 
% Clear single peak.
%
% measurement data
% time [s], power [dBm]
0.3, -56.6374473571777
0.6, -56.5831680297852
0.9, -56.8323974609375
1.2, -56.8668022155762
1.5, -56.9723052978516
1.8, -57.1382026672363
2.1, -57.3002777099609
2.4, -57.3339157104492
2.7, -57.499813079834
3.0, -57.6167831420898
3.3, -57.6932334899902
3.6, -57.7918586730957
3.9, -57.9118843078613
4.2, -58.0311470031738
4.5, -58.1465873718262
4.8, -58.2589721679688
5.1, -58.373649597168
5.4, -58.5227279663086
5.7, -58.6106452941895
6.0, -58.6511650085449
6.3, -58.7903060913086
6.6, -58.8988647460938
6.9, -59.0173645019531
7.2, -59.1733245849609
7.5, -59.2818832397461
7.8, -59.4225540161133
8.1, -59.5249977111816
8.4, -59.6389083862305
8.7, -59.748233795166
9.0, -59.8682632446289
9.3, -60.0051078796387
9.6, -60.1144332885742
9.9, -60.1985282897949
10.2, -60.2841529846191
10.5, -60.3422584533691
10.8, -60.3973007202148
11.1, -60.5310897827148
11.4, -60.668701171875
11.7, -60.7826156616211
12.0, -60.8514213562012
12.3, -60.9592170715332
12.6, -61.0555419921875
12.9, -61.1656341552734
13.2, -61.2382621765137
13.5, -61.3437652587891
13.8, -61.3559951782227
14.1, -61.4905471801758
14.4, -61.6488037109375
14.7, -61.7764739990234
15.0, -61.8873291015625
15.3, -61.9416084289551
15.6, -62.0042991638184
15.9, -62.1128578186035
16.2, -62.0998611450195
16.5, -62.2175979614258
16.8, -62.3009262084961
17.1, -62.4561233520508
17.4, -62.6159057617188
17.7, -62.714527130127
18.0, -62.8376121520996
18.3, -62.998161315918
18.6, -62.9469375610352
18.9, -63.079963684082
19.2, -63.1502952575684
19.5, -63.2198677062988
19.8, -63.3788833618164
20.1, -63.439281463623
20.4, -63.5539588928223
20.7, -63.7236785888672
21.0, -63.8842239379883
21.3, -64.013427734375
21.6, -64.0478286743164
21.9, -64.1709136962891
22.2, -64.1800918579102
22.5, -64.3245849609375
22.8, -64.46142578125
23.1, -64.5975112915039
23.4, -64.7519454956055
23.7, -64.970588684082
24.0, -64.9835891723633
24.3, -65.0630950927734
24.6, -65.11279296875
24.9, -65.2848052978516
25.2, -65.3467330932617
25.5, -65.4981002807617
25.8, -65.5944290161133
26.1, -65.5990142822266
26.4, -65.6968765258789
26.7, -65.6747055053711
27.0, -65.8046722412109
27.3, -65.9522171020508
27.6, -66.0149078369141
27.9, -66.1517562866211
28.2, -66.2419662475586
28.5, -66.3826370239258
28.8, -66.4109268188477
29.1, -66.5944061279297
29.4, -66.7633666992188
29.7, -66.8749847412109
30.0, -66.9384384155273
30.3, -67.1517333984375
30.6, -67.2748184204102
30.9, -67.3428649902344
31.2, -67.5462188720703
31.5, -67.6471328735352
31.8, -67.8267974853516
32.1, -67.8634948730469
32.4, -67.9575271606445
32.7, -68.1685333251953
33.0, -68.128776550293
33.3, -68.370361328125
33.6, -68.5110321044922
33.9, -68.8466491699219
34.2, -68.9827346801758
34.5, -69.0255432128906
34.8, -69.1784439086914
35.1, -69.2602462768555
35.4, -69.4391403198242
35.7, -69.4704895019531
36.0, -69.4162063598633
36.3, -69.4681930541992
36.6, -69.4185028076172
36.9, -69.3481674194336
37.2, -69.3863906860352
37.5, -69.5155944824219
37.8, -69.4850158691406
38.1, -69.5087127685547
38.4, -69.4972457885742
38.7, -69.8038177490234
39.0, -69.7350082397461
39.3, -69.7350082397461
39.6, -69.8947906494141
39.9, -70.0132904052734
40.2, -70.2449340820313
40.5, -70.3756637573242
40.8, -70.5614395141602
41.1, -70.6921768188477
41.4, -70.7999725341797
41.7, -70.7724456787109
42.0, -70.9582214355469
42.3, -70.8901824951172
42.6, -71.0981292724609
42.9, -71.1745758056641
43.2, -71.3335952758789
43.5, -71.4383316040039
43.8, -71.718147277832
44.1, -71.7930679321289
44.4, -71.7793045043945
44.7, -72.0453567504883
45.0, -71.9711990356445
45.3, -71.8825149536133
45.6, -72.1110992431641
45.9, -72.1462707519531
46.2, -72.142448425293
46.5, -72.1745529174805
46.8, -72.2311325073242
47.1, -72.1562042236328
47.4, -72.1218032836914
47.7, -72.0010147094727
48.0, -72.113395690918
48.3, -72.058349609375
48.6, -72.0499420166016
48.9, -72.2273025512695
49.2, -72.4742431640625
49.5, -72.5185852050781
49.8, -72.5805053710938
50.1, -72.4123153686523
50.4, -72.5193481445313
50.7, -72.5850982666016
51.0, -72.5667495727539
51.3, -72.5262298583984
51.6, -72.5445785522461
51.9, -72.4535980224609
52.2, -72.6110916137695
52.5, -72.5828018188477
52.8, -72.6240844726563
53.1, -72.7991561889648
53.4, -73.1332473754883
53.7, -73.1126098632813
54.0, -72.994873046875
54.3, -72.968879699707
54.6, -73.2379837036133
54.9, -73.2762145996094
55.2, -73.3144378662109
55.5, -73.2815628051758
55.8, -73.2769775390625
56.1, -73.320556640625
56.4, -73.3679504394531
56.7, -73.3970031738281
57.0, -73.6278839111328
57.3, -73.5804824829102
57.6, -73.7662582397461
57.9, -73.8427124023438
58.2, -73.9535675048828
58.5, -74.3954544067383
58.8, -74.3816909790039
59.1, -74.542236328125
59.4, -74.5835189819336
59.7, -74.5919342041016
60.0, -75.0361099243164
60.3, -75.4153060913086
60.6, -75.4053649902344
60.9, -75.7180557250977
61.2, -76.0422058105469
61.5, -76.2730865478516
61.8, -76.4068756103516
62.1, -76.5100860595703
62.4, -76.5269012451172
62.7, -76.9382095336914
63.0, -77.0987548828125
63.3, -77.7661666870117
63.6, -77.7944564819336
63.9, -77.9939956665039
64.2, -77.9037780761719
64.5, -77.7455291748047
64.8, -77.619384765625
65.1, -77.3005828857422
65.4, -77.5910949707031
65.7, -78.6568222045898
66.0, -78.7195129394531
66.3, -79.0276107788086
66.6, -79.2332611083984
66.9, -79.7768249511719
67.2, -79.8517456054688
67.5, -80.1208572387695
67.8, -80.0321731567383
68.1, -80.4480667114258
68.4, -80.7714538574219
68.7, -80.7576904296875
69.0, -81.8371810913086
69.3, -81.1659393310547
69.6, -80.8868942260742
69.9, -81.3111953735352
70.2, -80.5719146728516
70.5, -80.3265075683594
70.8, -79.6896743774414
71.1, -79.7194900512695
71.4, -80.4006652832031
71.7, -80.4480667114258
72.0, -80.7546310424805
72.3, -80.9427032470703
72.6, -81.5680694580078
72.9, -81.3700637817383
73.2, -81.5436096191406
73.5, -82.1062850952148
73.8, -82.026008605957
74.1, -82.1475677490234
74.4, -82.4579620361328
74.7, -83.2262878417969
