% Measurement ID: 3769
% Mode ID: S
% Date and time: 2021-01-14 07:43:46
% Sample ID: DP77-46
% Measurement type: ringdown
% Frequency [Hz]: 1365103.0
% Quality factor: 43417828.61974754
% Temperature [K]: 293.0
% Pressure [mBar]: 2.92e-08
% Notes: 
% Bad
%
% measurement data
% time [s], power [dBm]
0.1, -54.9531135559082
0.2, -55.0601463317871
0.3, -55.1205444335938
0.4, -55.2359848022461
0.5, -55.3070831298828
0.6, -55.4194641113281
0.7, -55.4989738464355
0.8, -55.5081481933594
0.9, -55.6671676635742
1.0, -55.7459106445313
1.1, -55.8766403198242
1.2, -55.9729690551758
1.3, -56.0517158508301
1.4, -56.1518630981445
1.5, -56.2390174865723
1.6, -56.3277015686035
1.7, -56.4194412231445
1.8, -56.5180625915527
1.9, -56.6052169799805
2.0, -56.6977233886719
2.1, -56.7413024902344
2.2, -56.8101081848145
2.3, -56.9224891662598
2.4, -56.9897651672363
2.5, -57.0815086364746
2.6, -57.1893043518066
2.7, -57.2749290466309
2.8, -57.3368530273438
2.9, -57.4400596618652
3.0, -57.4889907836914
3.1, -57.6327171325684
3.2, -57.7435722351074
3.3, -57.8444862365723
3.4, -57.9117622375488
3.5, -58.0142059326172
3.6, -58.0860710144043
3.7, -58.1105346679688
3.8, -58.1785774230957
3.9, -58.2687873840332
4.0, -58.3765830993652
4.1, -58.4354515075684
4.2, -58.5623588562012
4.3, -58.6640396118164
4.4, -58.7504272460938
4.5, -58.8437004089355
4.6, -58.962963104248
4.7, -59.0699920654297
4.8, -59.2076034545898
4.9, -59.282527923584
5.0, -59.3161659240723
5.1, -59.4216690063477
5.2, -59.4828300476074
5.3, -59.602855682373
5.4, -59.6731910705566
5.5, -59.8199768066406
5.6, -59.9361801147461
5.7, -59.9965782165527
5.8, -60.1578903198242
5.9, -60.2503929138184
6.0, -60.4201164245605
6.1, -60.4430503845215
6.2, -60.5179710388184
6.3, -60.604362487793
6.4, -60.7228622436523
6.5, -60.8130722045898
6.6, -60.819953918457
6.7, -60.979736328125
6.8, -60.9965553283691
6.9, -61.0615386962891
7.0, -61.1387519836426
7.1, -61.192268371582
7.2, -61.3352317810059
7.3, -61.4583168029785
7.4, -61.4996032714844
7.5, -61.5798759460449
7.6, -61.6784973144531
7.7, -61.6914939880371
7.8, -61.7197799682617
7.9, -61.8076972961426
8.0, -61.8856773376465
8.1, -61.9865951538086
8.2, -62.0141143798828
8.3, -62.1073875427246
8.4, -62.2037124633789
8.5, -62.3252716064453
8.6, -62.3734359741211
8.7, -62.4040145874023
8.8, -62.4277153015137
8.9, -62.4926986694336
9.0, -62.6073760986328
9.1, -62.7304611206055
9.2, -62.7748031616211
9.3, -62.839786529541
9.4, -62.9261741638184
9.5, -63.0584335327148
9.6, -63.2212753295898
9.7, -63.3153076171875
9.8, -63.4139289855957
9.9, -63.4835014343262
10.0, -63.5140800476074
10.1, -63.6386947631836
10.2, -63.7648391723633
10.3, -63.8711051940918
10.4, -63.8734016418457
10.5, -63.9062728881836
10.6, -64.053825378418
10.7, -64.106575012207
10.8, -64.1707916259766
10.9, -64.324462890625
11.0, -64.533935546875
11.1, -64.6249160766602
11.2, -64.743408203125
11.3, -64.8412704467773
11.4, -64.8603820800781
11.5, -64.9054870605469
11.6, -64.9827041625977
11.7, -65.0415725708008
11.8, -65.0851440429688
11.9, -65.1126708984375
12.0, -65.1929397583008
12.1, -65.1990585327148
12.2, -65.3672485351563
12.3, -65.4421691894531
12.4, -65.4635772705078
12.5, -65.5040969848633
12.6, -65.6600570678711
12.7, -65.8190765380859
12.8, -65.9413986206055
12.9, -65.9345169067383
13.0, -66.0308456420898
13.1, -66.1523971557617
13.2, -66.2785415649414
13.3, -66.4528503417969
13.4, -66.5430603027344
13.5, -66.5820541381836
13.6, -66.6118698120117
13.7, -66.6103439331055
13.8, -66.5552978515625
13.9, -66.7120208740234
14.0, -66.7770004272461
14.1, -66.8962707519531
14.2, -66.9398422241211
14.3, -66.8763885498047
14.4, -66.8993225097656
14.5, -66.9658355712891
14.6, -67.1095657348633
14.7, -67.3496170043945
14.8, -67.3220977783203
14.9, -67.3802032470703
15.0, -67.37255859375
15.1, -67.3098678588867
15.2, -67.3840255737305
15.3, -67.4061965942383
15.4, -67.5155181884766
15.5, -67.7624588012695
15.6, -67.8113861083984
15.7, -67.8626022338867
15.8, -68.0032730102539
15.9, -68.1791152954102
16.0, -68.1982269287109
16.1, -68.3648910522461
16.2, -68.6630477905273
16.3, -68.6194686889648
16.4, -68.806770324707
16.5, -68.9680862426758
16.6, -69.0842895507813
16.7, -69.1691513061523
16.8, -69.2975845336914
16.9, -69.3518676757813
17.0, -69.4466705322266
17.1, -69.4313735961914
17.2, -69.452018737793
17.3, -69.6102752685547
17.4, -69.9252471923828
17.5, -69.9703521728516
17.6, -69.9374847412109
17.7, -69.9604187011719
17.8, -69.8090438842773
17.9, -69.9688262939453
18.0, -70.2425231933594
18.1, -70.2967987060547
18.2, -70.2601013183594
18.3, -70.4512329101563
18.4, -70.6568832397461
18.5, -70.7860870361328
18.6, -70.7906723022461
18.7, -70.6492385864258
18.8, -70.6003112792969
18.9, -70.3724899291992
19.0, -70.4787521362305
19.1, -70.6278305053711
