% Measurement ID: 3778
% Mode ID: S
% Date and time: 2020-12-09 16:16:38
% Sample ID: DP74-21
% Measurement type: ringdown
% Frequency [Hz]: 1468302.4
% Quality factor: 30050840.576995183
% Temperature [K]: 293.0
% Pressure [mBar]: 1.33e-07
% Notes: 
% Bad. Might be pressure limited. Comparing to DP74-36 I can say this is NOT the case.
%
% measurement data
% time [s], power [dBm]
0.06, -100.799591064453
0.12, -100.096252441406
0.18, -99.9661712646484
0.24, -99.2532806396484
0.3, -99.7486267089844
0.36, -100.496055603027
0.42, -100.702575683594
0.48, -100.740058898926
0.54, -101.843933105469
0.6, -100.055099487305
0.66, -98.3897323608398
0.72, -98.5440673828125
0.78, -97.7113876342773
0.84, -96.2929534912109
0.9, -96.1187744140625
0.96, -96.0636596679688
1.02, -96.0320510864258
1.08, -95.4367599487305
1.14, -95.4602737426758
1.2, -95.6836929321289
1.26, -96.3782119750977
1.32, -96.3789443969727
1.38, -97.4365158081055
1.44, -97.619514465332
1.5, -98.6954650878906
1.56, -98.2074661254883
1.62, -98.0619506835938
1.68, -97.1293182373047
1.74, -95.9144668579102
1.8, -95.8806610107422
1.86, -96.3392562866211
1.92, -96.7919769287109
1.98, -96.7081985473633
2.04, -95.5315628051758
2.1, -94.620979309082
2.16, -93.3635025024414
2.22, -92.0001907348633
2.28, -91.5342407226563
2.34, -91.5268936157227
2.4, -91.2454147338867
2.46, -90.7346343994141
2.52, -90.8044509887695
2.58, -91.4570770263672
2.64, -91.7583999633789
2.7, -91.7106246948242
2.76, -91.7951431274414
2.82, -92.3044586181641
2.88, -92.5447845458984
2.94, -93.1106796264648
3.0, -92.8262634277344
3.06, -92.4683456420898
3.12, -91.8708419799805
3.18, -91.4533996582031
3.24, -91.4556045532227
3.3, -91.6716766357422
3.36, -92.1993637084961
3.42, -91.8017578125
3.48, -91.7466430664063
3.54, -91.7282638549805
3.6, -91.6731491088867
3.66, -91.4475173950195
3.72, -91.834098815918
3.78, -92.7366027832031
3.84, -92.657958984375
3.9, -92.3103332519531
3.96, -92.2890243530273
4.02, -92.2427215576172
4.08, -92.694709777832
4.14, -94.4460601806641
4.2, -96.0879135131836
4.26, -96.972770690918
4.32, -96.477424621582
4.38, -96.5259323120117
4.44, -96.618537902832
4.5, -96.8573913574219
4.56, -98.1677780151367
4.62, -98.0288772583008
4.68, -98.2684631347656
4.74, -99.7427520751953
4.8, -99.7728805541992
4.86, -99.972785949707
4.92, -100.515167236328
4.98, -100.484298706055
5.04, -98.7491149902344
5.1, -98.0891418457031
5.16, -95.5176010131836
5.22, -95.4088287353516
5.28, -95.4676208496094
5.34, -94.6466979980469
5.4, -94.5092697143555
5.46, -94.6591949462891
5.52, -94.049934387207
5.58, -93.9632110595703
5.64, -94.3284683227539
5.7, -93.8948593139648
5.76, -93.8478240966797
5.82, -93.9727630615234
5.88, -93.9918746948242
5.94, -94.3652191162109
6.0, -95.193489074707
6.06, -95.2192153930664
6.12, -94.3490524291992
6.18, -93.403190612793
6.24, -93.2422332763672
6.3, -93.4215621948242
6.36, -93.3671722412109
6.42, -93.7228851318359
6.48, -93.4392013549805
6.54, -93.4700698852539
6.6, -93.5244522094727
6.66, -93.4237670898438
6.72, -93.7941741943359
6.78, -94.0425796508789
6.84, -94.0352325439453
6.9, -93.7971115112305
6.96, -94.1675186157227
7.02, -94.8620376586914
7.08, -95.0781097412109
7.14, -95.6109390258789
7.2, -95.2339172363281
7.26, -95.2317123413086
7.32, -95.1508636474609
7.38, -95.1486587524414
7.44, -95.5977096557617
7.5, -95.4227905273438
7.56, -95.686637878418
7.62, -96.0923233032227
7.68, -95.6491546630859
7.74, -95.0024108886719
7.8, -94.9957962036133
7.86, -95.5999145507813
7.92, -95.9240188598633
7.98, -95.6601791381836
8.04, -94.3218612670898
8.1, -93.5678100585938
8.16, -93.2672271728516
8.22, -93.3164672851563
8.28, -92.8225860595703
8.34, -92.6601638793945
8.4, -92.8475723266602
8.46, -93.0055847167969
8.52, -74.8100280761719
8.58, -57.8212356567383
8.64, -56.0353393554688
8.7, -55.8780632019043
8.76, -55.8714485168457
8.82, -55.8868827819824
8.88, -55.944206237793
8.94, -55.8743896484375
9.0, -55.8699798583984
9.06, -55.9390640258789
9.12, -55.9361228942871
9.18, -55.9184837341309
9.24, -55.9346542358398
9.3, -56.0081481933594
9.36, -55.9787483215332
9.42, -55.9750747680664
9.48, -55.981689453125
9.54, -56.0059432983398
9.6, -55.9883041381836
9.66, -55.9868354797363
9.72, -56.0301971435547
9.78, -56.0265197753906
9.84, -56.0375442504883
9.9, -56.0324020385742
9.96, -56.036808013916
10.02, -55.9831581115723
10.08, -55.9927139282227
10.14, -56.0632667541504
10.2, -56.0720863342285
10.26, -55.9846305847168
10.32, -55.9853630065918
10.38, -56.0169677734375
10.44, -56.0162315368652
10.5, -56.0787010192871
10.56, -56.102954864502
10.62, -56.108097076416
10.68, -55.9919776916504
10.74, -56.0485687255859
10.8, -56.0162315368652
10.86, -56.0757598876953
10.92, -56.0853157043457
10.98, -56.1110382080078
11.04, -56.162483215332
11.1, -56.2256889343262
11.16, -56.2051086425781
11.22, -56.1999664306641
11.28, -56.2021713256836
11.34, -56.1720390319824
11.4, -56.1426391601563
11.46, -56.178653717041
11.52, -56.1992301940918
11.58, -56.2205429077148
11.64, -56.2220153808594
11.7, -56.1257362365723
11.76, -56.1257362365723
11.82, -56.2043762207031
11.88, -56.1720390319824
11.94, -56.1477851867676
12.0, -56.1757125854492
12.06, -56.1918830871582
12.12, -56.1367607116699
12.18, -56.1352920532227
12.24, -56.3249053955078
12.3, -56.4042778015137
12.36, -56.2719879150391
12.42, -56.2727241516113
12.48, -56.5005531311035
12.54, -56.3462181091309
12.6, -56.3454818725586
12.66, -56.4160385131836
12.72, -56.3440132141113
12.78, -56.3035926818848
12.84, -56.3160858154297
12.9, -56.2683143615723
12.96, -56.2565574645996
13.02, -56.2734603881836
13.08, -56.3961944580078
13.14, -56.2359771728516
