% Measurement ID: 3779
% Mode ID: S
% Date and time: 2020-12-09 16:49:24
% Sample ID: DP74-34
% Measurement type: ringdown
% Frequency [Hz]: 1426652.7
% Quality factor: 422449411.25904435
% Temperature [K]: 293.0
% Pressure [mBar]: 1.34e-07
% Notes: 
% 
%
% measurement data
% time [s], power [dBm]
0.5, -56.3113784790039
1.0, -56.3672332763672
1.5, -56.4208831787109
2.0, -56.4745330810547
2.5, -56.5289192199707
3.0, -56.5818328857422
3.5, -56.6171112060547
4.0, -56.6854591369629
4.5, -56.7200012207031
5.0, -56.7832069396973
5.5, -56.8346519470215
6.0, -56.8633155822754
6.5, -56.9132919311523
7.0, -56.9823722839355
7.5, -57.0323486328125
8.0, -57.0580711364746
8.5, -57.1124572753906
9.0, -57.1815414428711
9.5, -57.2219619750977
10.0, -57.2594451904297
10.5, -57.2976608276367
11.0, -57.3344078063965
11.5, -57.3807106018066
12.0, -57.4270095825195
12.5, -57.4858055114746
13.0, -57.5247573852539
13.5, -57.5813484191895
14.0, -57.6416130065918
14.5, -57.6952629089355
15.0, -57.7136344909668
15.5, -57.759937286377
16.0, -57.7687568664551
16.5, -57.8341636657715
17.0, -57.8562126159668
17.5, -57.8834075927734
18.0, -57.9311790466309
18.5, -58.0149612426758
19.0, -58.0406837463379
19.5, -58.0847778320313
20.0, -58.1237297058105
20.5, -58.1560668945313
21.0, -58.1751747131348
21.5, -58.2236824035645
22.0, -58.2574882507324
22.5, -58.3074645996094
23.0, -58.372875213623
23.5, -58.3919830322266
24.0, -58.457389831543
24.5, -58.515453338623
25.0, -58.5389709472656
25.5, -58.5889434814453
26.0, -58.6580276489258
26.5, -58.7072715759277
27.0, -58.7521018981934
27.5, -58.8057518005371
28.0, -58.8829193115234
28.5, -58.92333984375
29.0, -58.9475936889648
29.5, -59.0240287780762
30.0, -59.0629806518555
30.5, -59.0982551574707
31.0, -59.1408843994141
31.5, -59.1776313781738
32.0, -59.1908569335938
32.5, -59.2187843322754
33.0, -59.2481842041016
33.5, -59.27978515625
34.0, -59.329761505127
34.5, -59.3459281921387
35.0, -59.4282417297363
35.5, -59.4532318115234
36.0, -59.4907112121582
36.5, -59.5186386108398
37.0, -59.5774345397949
37.5, -59.6185913085938
38.0, -59.691349029541
38.5, -59.7810134887695
39.0, -59.8221702575684
39.5, -61.2001762390137
40.0, -62.4613265991211
40.5, -59.9404945373535
41.0, -59.9816513061523
41.5, -59.9809150695801
42.0, -60.0059013366699
42.5, -60.0323600769043
43.0, -60.1286392211914
43.5, -60.1705284118652
44.0, -60.3866004943848
44.5, -61.4765090942383
45.0, -61.5455932617188
45.5, -60.5710678100586
46.0, -60.3726348876953
46.5, -60.4123229980469
47.0, -60.4733238220215
47.5, -60.5328521728516
48.0, -60.580623626709
48.5, -60.6166343688965
49.0, -60.6644058227539
49.5, -60.6695518493652
50.0, -60.7364311218262
50.5, -60.777587890625
51.0, -60.7974281311035
51.5, -60.8128623962402
52.0, -60.8584289550781
52.5, -60.8760681152344
53.0, -60.9106101989746
53.5, -60.9664649963379
54.0, -61.0377540588379
54.5, -61.1024284362793
55.0, -61.1230049133301
55.5, -61.1737174987793
56.0, -61.2597045898438
56.5, -61.2920417785645
57.0, -61.3229103088379
57.5, -61.3508377075195
58.0, -61.4184494018555
58.5, -61.5022354125977
59.0, -61.5477981567383
59.5, -61.6146774291992
60.0, -61.651424407959
60.5, -61.6903762817383
61.0, -61.7712211608887
61.5, -61.8094367980957
62.0, -61.8792572021484
62.5, -61.8623542785645
63.0, -61.9556884765625
63.5, -61.9858207702637
64.0, -62.0607872009277
64.5, -62.0629920959473
65.0, -62.1041450500488
65.5, -62.1225204467773
66.0, -62.150447845459
66.5, -62.204833984375
67.0, -62.1930732727051
67.5, -62.2606887817383
68.0, -62.2562789916992
68.5, -62.3187484741211
69.0, -62.347412109375
69.5, -62.4319267272949
70.0, -62.4488334655762
70.5, -62.5311431884766
71.0, -62.5700950622559
71.5, -62.600227355957
72.0, -62.6413841247559
72.5, -62.7148780822754
73.0, -62.7361907958984
73.5, -62.759708404541
74.0, -62.7626495361328
74.5, -62.7935180664063
75.0, -62.8743591308594
75.5, -62.9000816345215
76.0, -62.9721069335938
76.5, -63.0323715209961
77.0, -63.0874900817871
77.5, -63.1374664306641
78.0, -63.1308517456055
78.5, -63.1529006958008
79.0, -63.2227210998535
79.5, -63.3550071716309
80.0, -63.3608894348145
80.5, -64.2883758544922
81.0, -64.0781860351563
81.5, -63.4226226806641
82.0, -63.4880332946777
82.5, -63.4983215332031
83.0, -63.5828399658203
83.5, -63.6541290283203
84.0, -64.2325210571289
84.5, -67.375846862793
85.0, -67.6698226928711
85.5, -63.8746070861816
86.0, -63.9260559082031
86.5, -63.9789695739746
87.0, -64.026741027832
87.5, -64.0759811401367
88.0, -64.1009674072266
88.5, -64.168586730957
89.0, -64.1913681030273
89.5, -64.2185592651367
90.0, -64.2266464233398
90.5, -64.2780914306641
91.0, -64.3677520751953
91.5, -64.4236068725586
92.0, -64.4287490844727
92.5, -64.4728469848633
93.0, -64.5073928833008
93.5, -64.5015106201172
94.0, -64.5492782592773
94.5, -64.6271820068359
95.0, -64.6705474853516
95.5, -64.668342590332
96.0, -64.7043533325195
96.5, -64.7300720214844
97.0, -64.7550659179688
97.5, -64.879264831543
98.0, -64.9299774169922
98.5, -65.0042037963867
99.0, -65.0828475952148
99.5, -65.1673583984375
100.0, -65.2202758789063
100.5, -65.2923049926758
101.0, -65.3158187866211
101.5, -65.3371353149414
102.0, -65.4466400146484
102.5, -65.5157241821289
103.0, -65.5664291381836
103.5, -65.5083694458008
104.0, -65.591423034668
104.5, -65.6575622558594
105.0, -65.6421279907227
105.5, -65.662712097168
106.0, -65.7692718505859
106.5, -65.8082275390625
107.0, -65.8699645996094
107.5, -65.8670196533203
108.0, -65.9045028686523
108.5, -65.9405136108398
109.0, -66.0184173583984
109.5, -66.0522232055664
110.0, -66.1529083251953
110.5, -66.1690826416016
111.0, -66.235221862793
111.5, -66.2550659179688
112.0, -66.2690353393555
112.5, -66.3785400390625
113.0, -66.4072036743164
113.5, -66.4277801513672
114.0, -66.4557037353516
114.5, -66.5064163208008
115.0, -66.5438995361328
115.5, -66.5755004882813
116.0, -66.6416473388672
116.5, -66.6556091308594
117.0, -66.6908874511719
117.5, -66.7254257202148
118.0, -66.7261657714844
118.5, -66.8033294677734
119.0, -66.8731460571289
119.5, -66.9150390625
120.0, -66.9554595947266
120.5, -66.9789810180664
121.0, -67.0135192871094
121.5, -67.0370407104492
122.0, -67.1031875610352
122.5, -67.1641845703125
123.0, -67.2817764282227
123.5, -67.3177871704102
124.0, -67.4096527099609
124.5, -67.5345916748047
125.0, -67.6440963745117
125.5, -67.6683502197266
126.0, -67.7065658569336
126.5, -67.7161254882813
127.0, -67.7521362304688
127.5, -67.8065185546875
128.0, -67.8586959838867
128.5, -67.9035339355469
129.0, -67.9601211547852
129.5, -67.9821701049805
130.0, -68.0475769042969
130.5, -68.1188659667969
131.0, -68.2114715576172
131.5, -68.2834930419922
132.0, -68.3290557861328
132.5, -68.3819732666016
133.0, -68.4297485351563
