% Measurement ID: 3787
% Mode ID: S
% Date and time: 2021-01-14 08:13:48
% Sample ID: DP77-66
% Measurement type: ringdown
% Frequency [Hz]: 1416401.4
% Quality factor: 13222242.249014247
% Temperature [K]: 293.0
% Pressure [mBar]: 2.85e-08
% Notes: 
% Bad. Many peaks. No clear mode within a bandgap.
%
% measurement data
% time [s], power [dBm]
0.06, -100.032890319824
0.12, -92.8105773925781
0.18, -95.8456726074219
0.24, -91.2578582763672
0.3, -99.5711212158203
0.36, -92.53076171875
0.42, -95.7791595458984
0.48, -91.6706924438477
0.54, -99.1659317016602
0.6, -92.2616577148438
0.66, -98.2966918945313
0.72, -92.935188293457
0.78, -95.1767272949219
0.84, -91.0009841918945
0.9, -94.165283203125
0.96, -89.8412246704102
1.02, -89.8412246704102
1.08, -90.2013092041016
1.14, -92.6087417602539
1.2, -88.6233596801758
1.26, -91.5254364013672
1.32, -88.473518371582
1.38, -89.2204437255859
1.44, -89.6172256469727
1.5, -93.0796813964844
1.56, -88.8580627441406
1.62, -92.3809204101563
1.68, -88.6203079223633
1.74, -91.1064834594727
1.8, -89.8802108764648
1.86, -93.714225769043
1.92, -90.4184265136719
1.98, -92.882438659668
2.04, -90.2632293701172
2.1, -92.4474334716797
2.16, -89.0323715209961
2.22, -90.9237670898438
2.28, -88.2388153076172
2.34, -90.2234802246094
2.4, -88.3229141235352
2.46, -90.9642868041992
2.52, -88.583610534668
2.58, -92.3641052246094
2.64, -90.1646118164063
2.7, -96.3701248168945
2.76, -93.2119445800781
2.82, -98.1590728759766
2.88, -91.5720748901367
2.94, -97.8425674438477
3.0, -93.1729507446289
3.06, -105.373741149902
3.12, -96.0001068115234
3.18, -105.887489318848
3.24, -95.3074569702148
3.3, -105.155860900879
3.36, -96.5367889404297
3.42, -105.632148742676
3.48, -96.7523803710938
3.54, -108.417251586914
3.6, -94.5765914916992
3.66, -100.765289306641
3.72, -94.6377487182617
3.78, -100.999229431152
3.84, -95.7378768920898
3.9, -110.099937438965
3.96, -98.1246719360352
4.02, -110.463844299316
4.08, -99.3937606811523
4.14, -118.277114868164
4.2, -101.352432250977
4.26, -108.647369384766
4.32, -99.6483383178711
4.38, -107.0732421875
4.44, -99.3364181518555
4.5, -113.347564697266
4.56, -98.9939193725586
4.62, -102.082534790039
4.68, -98.0000610351563
4.74, -112.768836975098
4.8, -99.5321350097656
