% Measurement ID: 3790
% Mode ID: S
% Date and time: 2021-01-18 13:21:22
% Sample ID: DP78-64
% Measurement type: ringdown
% Frequency [Hz]: 1419401.8
% Quality factor: 228530111.36920595
% Temperature [K]: 293.0
% Pressure [mBar]: nan
% Notes: 
% 
%
% measurement data
% time [s], power [dBm]
0.3, -55.8202056884766
0.6, -55.8783111572266
0.9, -55.9639358520508
1.2, -56.0143928527832
1.5, -56.0396194458008
1.8, -56.1076622009277
2.1, -56.1856422424316
2.4, -56.2238693237305
2.7, -56.2758560180664
3.0, -56.3706550598145
3.3, -56.3935890197754
3.6, -56.4593353271484
3.9, -56.5113220214844
4.2, -56.5549011230469
4.5, -56.6168251037598
4.8, -56.6955680847168
5.1, -56.7414398193359
5.4, -56.8155975341797
5.7, -56.8706436157227
6.0, -56.8905181884766
6.3, -56.95703125
6.6, -56.9807319641113
6.9, -57.0380706787109
7.2, -57.0632972717285
7.5, -57.132869720459
7.8, -57.1902046203613
8.1, -57.2467803955078
8.4, -57.3232307434082
8.7, -57.3538131713867
9.0, -57.4165000915527
9.3, -57.4585494995117
9.6, -57.453197479248
9.9, -57.5074768066406
10.2, -57.5166511535645
10.5, -57.5510559082031
10.8, -57.6183319091797
11.1, -57.655029296875
11.4, -57.6932525634766
11.7, -57.7330093383789
12.0, -57.749828338623
12.3, -57.8484497070313
12.6, -57.8920249938965
12.9, -57.9707679748535
13.2, -58.0265769958496
13.5, -58.0472221374512
13.8, -58.0472221374512
14.1, -58.1473693847656
14.4, -58.2215270996094
14.7, -58.2681617736816
15.0, -58.3239707946777
15.3, -58.3820762634277
15.6, -58.4057731628418
15.9, -58.4707565307617
16.2, -58.5632629394531
16.5, -58.5640296936035
16.8, -58.6129570007324
17.1, -58.6710586547852
17.4, -58.6978187561035
17.7, -58.7941436767578
18.0, -58.8530120849609
18.3, -58.8935317993164
18.6, -58.9210548400879
18.9, -58.9997978210449
19.2, -59.0105018615723
19.5, -59.0594291687012
19.8, -59.1718139648438
20.1, -59.1182975769043
20.4, -59.1832809448242
20.7, -59.2299156188965
21.0, -59.2536163330078
21.3, -59.3354187011719
21.6, -59.3591156005859
21.9, -59.3728790283203
22.2, -59.4485626220703
22.5, -59.5081977844238
22.8, -59.5288391113281
23.1, -59.5800590515137
23.4, -59.6075820922852
23.7, -59.6557464599609
24.0, -59.7161407470703
24.3, -59.7826538085938
24.6, -59.7918281555176
24.9, -59.8201141357422
25.2, -59.9034461975098
25.5, -60.002067565918
25.8, -60.0433540344238
26.1, -60.1037483215332
26.4, -60.1794357299805
26.7, -60.2497711181641
27.0, -60.2604713439941
