% Measurement ID: 3791
% Mode ID: S
% Date and time: 2021-01-18 13:45:02
% Sample ID: DP78-83
% Measurement type: ringdown
% Frequency [Hz]: 1416243.1
% Quality factor: 169937639.73360425
% Temperature [K]: 293.0
% Pressure [mBar]: 4.76e-08
% Notes: 
% No bandgap
%
% measurement data
% time [s], power [dBm]
0.3, -53.3443069458008
0.6, -53.4154052734375
0.9, -53.4742736816406
1.2, -53.5331382751465
1.5, -53.5996513366699
1.8, -53.6493453979492
2.1, -53.7005653381348
2.4, -53.776252746582
2.7, -53.8404731750488
3.0, -53.9123344421387
3.3, -53.9819068908691
3.6, -54.043830871582
3.9, -54.1149291992188
4.2, -54.1860313415527
4.5, -54.2487182617188
4.8, -54.3052940368652
5.1, -54.3542213439941
5.4, -54.4192047119141
5.7, -54.4880104064941
6.0, -54.5331153869629
6.3, -54.6141548156738
6.6, -54.6860198974609
6.9, -54.7769966125488
7.2, -54.8557395935059
7.5, -54.9253082275391
7.8, -54.9711799621582
8.1, -55.0331039428711
8.4, -55.0996170043945
8.7, -55.179126739502
9.0, -55.2441101074219
9.3, -55.3182678222656
9.6, -55.3886032104492
9.9, -55.4543495178223
10.2, -55.5330924987793
10.5, -55.6187171936035
10.8, -55.6989936828613
11.1, -55.7601509094238
11.4, -55.8465423583984
11.7, -55.8855323791504
12.0, -55.9275817871094
12.3, -55.9719200134277
12.6, -56.0567817687988
12.9, -56.1768112182617
13.2, -56.2517318725586
13.5, -56.3327713012695
13.8, -56.3901062011719
14.1, -56.4734382629395
14.4, -56.6454544067383
14.7, -56.6989707946777
15.0, -56.7478981018066
15.3, -56.8319931030273
15.6, -56.9359664916992
15.9, -56.9795455932617
16.2, -57.0139465332031
16.5, -57.0774002075195
16.8, -57.1026306152344
17.1, -57.2593536376953
17.4, -57.2830543518066
17.7, -57.3235740661621
18.0, -57.4191360473633
18.3, -57.4695930480957
18.6, -57.5728034973145
18.9, -57.6117935180664
19.2, -57.6783027648926
19.5, -57.7440528869629
19.8, -57.7731018066406
20.1, -57.7983322143555
20.4, -57.8770751953125
20.7, -57.9711112976074
21.0, -58.0230979919434
21.3, -58.0758476257324
21.6, -58.1630020141602
21.9, -58.253978729248
22.2, -58.2555084228516
22.5, -58.3602447509766
22.8, -58.4443435668945
23.1, -58.4978561401367
23.4, -58.5597839355469
23.7, -58.6561126708984
24.0, -58.7195663452148
24.3, -58.7692565917969
24.6, -58.8434143066406
24.9, -58.9512100219727
25.2, -58.9794960021973
25.5, -59.0574760437012
25.8, -59.1476898193359
26.1, -59.1767425537109
26.4, -59.216495513916
26.7, -59.3181762695313
27.0, -59.3900375366211
27.3, -59.4152679443359
27.6, -59.5008926391602
27.9, -59.5773429870605
28.2, -59.6293296813965
28.5, -59.7432403564453
28.8, -59.7990493774414
29.1, -59.8388061523438
29.4, -59.9190788269043
29.7, -59.9626541137695
30.0, -60.022289276123
30.3, -60.0895652770996
30.6, -60.1484298706055
30.9, -60.2325286865234
31.2, -60.3296203613281
31.5, -60.3724327087402
31.8, -60.4534721374512
32.1, -60.5497970581055
32.4, -60.5796127319336
32.7, -60.6644744873047
33.0, -60.7080497741699
33.3, -60.7539215087891
33.6, -60.8349609375
33.9, -60.8762435913086
34.2, -60.9129409790039
34.5, -61.0069732666016
34.8, -60.9710426330566
35.1, -61.0581970214844
35.4, -61.0727233886719
35.7, -61.2057456970215
36.0, -61.2890777587891
36.3, -61.3166007995605
36.6, -61.3632354736328
36.9, -61.4136924743652
37.2, -61.4534492492676
37.5, -61.4840278625488
37.8, -61.5948829650879
38.1, -61.6713333129883
38.4, -61.755428314209
38.7, -61.8242340087891
39.0, -61.850227355957
39.3, -61.9855461120605
39.6, -61.9855461120605
39.9, -62.1093940734863
40.2, -62.1606178283691
40.5, -62.2638244628906
40.8, -62.3486862182617
41.1, -62.4182586669922
41.4, -62.5520477294922
41.7, -62.6384353637695
42.0, -62.7133560180664
42.3, -62.7599906921387
42.6, -62.8433227539063
42.9, -62.9113655090332
43.2, -63.0145721435547
43.5, -63.0420951843262
43.8, -63.1636543273926
44.1, -63.1781768798828
44.4, -63.263801574707
44.7, -63.3073806762695
45.0, -63.442699432373
45.3, -63.4923896789551
45.6, -63.5497283935547
45.9, -63.5665473937988
46.2, -63.6827545166016
46.5, -63.7148628234863
46.8, -63.8173065185547
47.1, -63.8998756408691
47.4, -63.9189872741699
47.7, -63.948802947998
48.0, -64.1353454589844
48.3, -64.1728057861328
48.6, -64.2989501953125
48.9, -64.3042984008789
49.2, -64.3455810546875
49.5, -64.4319686889648
49.8, -64.5030746459961
50.1, -64.6391525268555
50.4, -64.6391525268555
50.7, -64.6842575073242
51.0, -64.7538299560547
51.3, -64.7484817504883
51.6, -64.7477111816406
51.9, -64.7813491821289
52.2, -64.8998489379883
52.5, -64.8432769775391
52.8, -65.0007629394531
53.1, -65.0542831420898
53.4, -65.1697235107422
53.7, -65.2408218383789
54.0, -65.293571472168
54.3, -65.2920455932617
54.6, -65.3058090209961
54.9, -65.4136047363281
55.2, -65.462532043457
55.5, -65.5236892700195
55.8, -65.6727676391602
56.1, -65.7882080078125
56.4, -65.9036483764648
56.7, -65.9892730712891
57.0, -66.0420303344727
57.3, -66.1108322143555
57.6, -66.2530288696289
57.9, -66.3164825439453
58.2, -66.3852920532227
58.5, -66.5106735229492
58.8, -66.6108245849609
59.1, -66.6528701782227
59.4, -66.6589889526367
59.7, -66.7583694458008
60.0, -66.8332901000977
60.3, -66.8554611206055
60.6, -66.8432312011719
60.9, -66.9380340576172
61.2, -66.9387969970703
61.5, -66.9349746704102
61.8, -66.9120407104492
62.1, -67.090934753418
62.4, -67.1398620605469
62.7, -67.2728881835938
63.0, -67.2858810424805
63.3, -67.3837432861328
63.6, -67.4999465942383
63.9, -67.5435256958008
64.2, -67.4364929199219
64.5, -67.5756301879883
64.8, -67.6337356567383
65.1, -67.6811370849609
65.4, -67.7904586791992
65.7, -67.9372406005859
66.0, -67.8500900268555
66.3, -68.1581878662109
66.6, -68.1964111328125
66.9, -68.1581878662109
67.2, -68.423469543457
67.5, -68.4364700317383
67.8, -68.5152130126953
68.1, -68.5633773803711
68.4, -68.53662109375
68.7, -68.6084823608398
69.0, -68.6551208496094
69.3, -68.8164291381836
69.6, -68.7514419555664
69.9, -68.8714752197266
70.2, -68.9196395874023
70.5, -69.0526580810547
70.8, -69.0694808959961
71.1, -69.097770690918
71.4, -69.2430267333984
71.7, -69.3752822875977
72.0, -69.5709991455078
72.3, -69.6627426147461
72.6, -69.8141098022461
72.9, -69.8576889038086
73.2, -69.9746627807617
73.5, -69.999885559082
73.8, -69.9784851074219
74.1, -70.1229705810547
74.4, -70.1803131103516
74.7, -70.2093658447266
75.0, -70.3347396850586
75.3, -70.3767929077148
75.6, -70.424186706543
75.9, -70.6244888305664
76.2, -70.6199035644531
76.5, -70.7009429931641
76.8, -70.6665420532227
77.1, -70.7445220947266
77.4, -70.8844223022461
77.7, -70.88671875
78.0, -70.9799880981445
78.3, -70.9830474853516
78.6, -71.1474151611328
78.9, -71.2842636108398
79.2, -71.3163681030273
79.5, -71.6076507568359
79.8, -71.4952697753906
80.1, -71.5923614501953
80.4, -71.7529067993164
80.7, -71.7093276977539
81.0, -71.8018341064453
81.3, -71.852294921875
81.6, -71.8935775756836
81.9, -72.0319519042969
82.2, -72.2123718261719
82.5, -72.2590103149414
82.8, -72.2353134155273
83.1, -72.4241409301758
83.4, -72.4226150512695
83.7, -72.5961608886719
84.0, -72.5479965209961
84.3, -72.3958587646484
84.6, -72.7482986450195
84.9, -72.5288848876953
85.2, -72.7008972167969
85.5, -72.7039566040039
85.8, -72.7788772583008
86.1, -72.995231628418
86.4, -73.0028762817383
86.7, -72.9669418334961
87.0, -73.2375793457031
87.3, -73.3094482421875
87.6, -73.3033294677734
87.9, -73.3537902832031
