% Measurement ID: 3815
% Mode ID: S
% Date and time: 2020-11-30 12:59:06
% Sample ID: DP67-13
% Measurement type: ringdown
% Frequency [Hz]: 1145590.9
% Quality factor: 457874810.6633416
% Temperature [K]: 293.0
% Pressure [mBar]: 1.56e-08
% Notes: 
% Insanely good mode!
%
% measurement data
% time [s], power [dBm]
0.0125, -46.1659126281738
0.025, -46.1673812866211
0.0375, -46.1673812866211
0.05, -46.1659126281738
0.0625, -46.1651763916016
0.075, -46.1651763916016
0.0875, -46.1659126281738
0.1, -46.1666450500488
0.1125, -46.1688499450684
0.125, -46.1710548400879
0.1375, -46.1725273132324
0.15, -46.1739959716797
0.1625, -46.1762008666992
0.175, -46.1784057617188
0.1875, -46.179141998291
0.2, -46.179141998291
0.2125, -46.179141998291
0.225, -46.179141998291
0.2375, -46.179874420166
0.25, -46.1820793151855
0.2625, -46.1828155517578
0.275, -46.1842842102051
0.2875, -46.1857566833496
0.3, -46.1872253417969
0.3125, -46.1879615783691
0.325, -46.1894302368164
0.3375, -46.1894302368164
0.35, -46.1908988952637
0.3625, -46.1908988952637
0.375, -46.1908988952637
0.3875, -46.1908988952637
0.4, -46.1908988952637
0.4125, -46.1908988952637
0.425, -46.1916351318359
0.4375, -46.1931037902832
0.45, -46.1938400268555
0.4625, -46.1945724487305
0.475, -46.196044921875
0.4875, -46.19677734375
0.5, -46.1975135803223
0.5125, -46.1989822387695
0.525, -46.2011871337891
0.5375, -46.2026596069336
0.55, -46.2033920288086
0.5625, -46.2055969238281
0.575, -46.2055969238281
0.5875, -46.2055969238281
0.6, -46.2055969238281
0.6125, -46.2055969238281
0.625, -46.2055969238281
0.6375, -46.2063331604004
0.65, -46.2078018188477
0.6625, -46.2078018188477
0.675, -46.2085380554199
0.6875, -46.2092742919922
0.7, -46.2092742919922
0.7125, -46.2092742919922
0.725, -46.2100067138672
0.7375, -46.2107429504395
0.75, -46.212947845459
0.7625, -46.2144165039063
0.775, -46.217357635498
0.7875, -46.2195625305176
0.8, -46.2202987670898
0.8125, -46.2217674255371
0.825, -46.2225036621094
0.8375, -46.2239723205566
0.85, -46.2247047424316
0.8625, -46.2261772155762
0.875, -46.2261772155762
0.8875, -46.2247047424316
0.9, -46.2247047424316
0.9125, -46.2254409790039
0.925, -46.2261772155762
0.9375, -46.2269096374512
0.95, -46.2283821105957
0.9625, -46.229850769043
0.975, -46.2313194274902
0.9875, -46.2320556640625
1.0, -46.2320556640625
1.0125, -46.2313194274902
1.025, -46.2320556640625
1.0375, -46.2320556640625
1.05, -46.2335243225098
1.0625, -46.2335243225098
1.075, -46.2349967956543
1.0875, -46.2372016906738
1.1, -46.2379341125488
1.1125, -46.2379341125488
1.125, -46.2386703491211
1.1375, -46.2401390075684
1.15, -46.2408752441406
1.1625, -46.2423439025879
1.175, -46.2438163757324
1.1875, -46.2452850341797
1.2, -46.246753692627
1.2125, -46.246753692627
1.225, -46.246753692627
1.2375, -46.2474899291992
1.25, -46.2474899291992
1.2625, -46.2482261657715
1.275, -46.2489585876465
1.2875, -46.2496948242188
1.3, -46.2496948242188
1.3125, -46.251163482666
1.325, -46.2526359558105
1.3375, -46.2533683776855
1.35, -46.2548408508301
1.3625, -46.2563095092773
1.375, -46.2577781677246
1.3875, -46.2585144042969
1.4, -46.2599830627441
1.4125, -46.2599830627441
1.425, -46.2599830627441
1.4375, -46.2614517211914
1.45, -46.2614517211914
1.4625, -46.2614517211914
1.475, -46.2607192993164
1.4875, -46.2614517211914
1.5, -46.2621879577637
1.5125, -46.2636566162109
1.525, -46.2643928527832
1.5375, -46.2658615112305
1.55, -46.2658615112305
1.5625, -46.267333984375
1.575, -46.267333984375
1.5875, -46.26806640625
1.6, -46.2695388793945
1.6125, -46.2702713012695
1.625, -46.2702713012695
1.6375, -46.2702713012695
1.65, -46.2710075378418
1.6625, -46.2710075378418
1.675, -46.2717437744141
1.6875, -46.2724761962891
1.7, -46.2746810913086
1.7125, -46.2754173278809
1.725, -46.2761535644531
1.7375, -46.2761535644531
1.75, -46.2768859863281
1.7625, -46.2783584594727
1.775, -46.2790908813477
1.7875, -46.2798271179199
1.8, -46.2812957763672
1.8125, -46.2835006713867
1.825, -46.284236907959
1.8375, -46.2857055664063
1.85, -46.2871780395508
1.8625, -46.288646697998
1.875, -46.2901153564453
1.8875, -46.2908515930176
1.9, -46.2908515930176
1.9125, -46.2915840148926
1.925, -46.2937889099121
1.9375, -46.2945251464844
1.95, -46.2952613830566
1.9625, -46.2967300415039
1.975, -46.2967300415039
1.9875, -46.2967300415039
2.0, -46.2967300415039
2.0125, -46.2967300415039
2.025, -46.2967300415039
2.0375, -46.2967300415039
2.05, -46.2974662780762
2.0625, -46.2989349365234
2.075, -46.3004035949707
2.0875, -46.3018760681152
2.1, -46.3040809631348
2.1125, -46.3062858581543
2.125, -46.3077545166016
2.1375, -46.3092231750488
2.15, -46.3106956481934
2.1625, -46.3121643066406
2.175, -46.3129005432129
2.1875, -46.3121643066406
2.2, -46.3121643066406
2.2125, -46.3121643066406
2.225, -46.3129005432129
2.2375, -46.3136329650879
2.25, -46.3151054382324
2.2625, -46.3158378601074
2.275, -46.3165740966797
2.2875, -46.317310333252
2.3, -46.318042755127
2.3125, -46.3195152282715
2.325, -46.3202476501465
2.3375, -46.3202476501465
2.35, -46.3202476501465
2.3625, -46.3209838867188
2.375, -46.3209838867188
2.3875, -46.3209838867188
2.4, -46.321720123291
2.4125, -46.3209838867188
2.425, -46.321720123291
2.4375, -46.3231887817383
2.45, -46.3261260986328
2.4625, -46.3290672302246
2.475, -46.3312721252441
2.4875, -46.3334770202637
2.5, -46.3364181518555
2.5125, -46.338623046875
2.525, -46.3400917053223
2.5375, -46.3400917053223
2.55, -46.33935546875
2.5625, -46.338623046875
2.575, -46.338623046875
2.5875, -46.338623046875
2.6, -46.338623046875
2.6125, -46.338623046875
2.625, -46.33935546875
2.6375, -46.33935546875
2.65, -46.3400917053223
2.6625, -46.3400917053223
2.675, -46.3408279418945
2.6875, -46.3408279418945
2.7, -46.3422966003418
2.7125, -46.3437652587891
2.725, -46.3452377319336
2.7375, -46.3467063903809
2.75, -46.3481750488281
2.7625, -46.3489112854004
2.775, -46.3496475219727
2.7875, -46.3496475219727
2.8, -46.3503799438477
2.8125, -46.3511161804199
2.825, -46.3518524169922
2.8375, -46.3540573120117
2.85, -46.356258392334
2.8625, -46.3584632873535
2.875, -46.360668182373
2.8875, -46.3621406555176
2.9, -46.3636093139648
2.9125, -46.3628730773926
2.925, -46.3628730773926
2.9375, -46.3621406555176
2.95, -46.3621406555176
2.9625, -46.3621406555176
2.975, -46.3621406555176
2.9875, -46.3628730773926
3.0, -46.3643455505371
3.0125, -46.3650779724121
3.025, -46.3665504455566
3.0375, -46.3680191040039
3.05, -46.3709602355957
3.0625, -46.372428894043
3.075, -46.3731651306152
3.0875, -46.3738975524902
3.1, -46.3738975524902
3.1125, -46.3738975524902
3.125, -46.3731651306152
3.1375, -46.372428894043
3.15, -46.372428894043
3.1625, -46.3738975524902
3.175, -46.3761024475098
3.1875, -46.3783073425293
3.2, -46.3790435791016
3.2125, -46.3805122375488
3.225, -46.3797798156738
3.2375, -46.3797798156738
3.25, -46.3797798156738
3.2625, -46.3797798156738
3.275, -46.3812484741211
3.2875, -46.3827171325684
3.3, -46.3841896057129
3.3125, -46.3856582641602
3.325, -46.3871269226074
3.3375, -46.3878631591797
3.35, -46.3871269226074
3.3625, -46.3878631591797
3.375, -46.3863945007324
3.3875, -46.3856582641602
3.4, -46.3856582641602
3.4125, -46.3863945007324
3.425, -46.3871269226074
3.4375, -46.3878631591797
3.45, -46.389331817627
3.4625, -46.3900680541992
3.475, -46.3915367126465
3.4875, -46.3930053710938
3.5, -46.3952102661133
3.5125, -46.3966827392578
3.525, -46.3981513977051
3.5375, -46.4003562927246
3.55, -46.4018249511719
3.5625, -46.4040298461914
3.575, -46.4069709777832
3.5875, -46.4084396362305
3.6, -46.4084396362305
3.6125, -46.4077072143555
3.625, -46.4069709777832
3.6375, -46.4077072143555
3.65, -46.4077072143555
3.6625, -46.4077072143555
3.675, -46.4084396362305
3.6875, -46.4077072143555
3.7, -46.4084396362305
3.7125, -46.4091758728027
3.725, -46.41064453125
3.7375, -46.4113807678223
3.75, -46.4128494262695
3.7625, -46.4143218994141
3.775, -46.4143218994141
3.7875, -46.4150543212891
3.8, -46.4165267944336
3.8125, -46.4172592163086
