% Measurement ID: 3819
% Mode ID: S
% Date and time: 2020-12-04 08:43:58
% Sample ID: DP68-14
% Measurement type: ringdown
% Frequency [Hz]: 1216366.6
% Quality factor: 25934346.4090693
% Temperature [K]: 293.0
% Pressure [mBar]: 8.18e-09
% Notes: 
% Bad. Heavy drifting
%
% measurement data
% time [s], power [dBm]
0.06, -48.6725006103516
0.12, -48.7548141479492
0.18, -48.8334541320801
0.24, -48.9150314331055
0.3, -48.9980773925781
0.36, -49.0715713500977
0.42, -49.1443290710449
0.48, -49.2273788452148
0.54, -49.3104248046875
0.6, -49.395679473877
0.66, -49.4801979064941
0.72, -49.5536918640137
0.78, -49.6323280334473
0.84, -49.7131729125977
0.9, -49.7866668701172
0.96, -49.8579521179199
1.02, -49.9277725219727
1.08, -50.0020027160645
1.14, -50.0740242004395
1.2, -50.1592788696289
1.26, -50.2467346191406
1.32, -50.3290481567383
1.38, -50.399600982666
1.44, -50.4745674133301
1.5, -50.5524673461914
1.56, -50.6244926452637
1.62, -50.7031326293945
1.68, -50.7744216918945
1.74, -50.8449745178223
1.8, -50.9280204772949
1.86, -51.002986907959
1.92, -51.0654563903809
1.98, -51.1411514282227
2.04, -51.2249374389648
2.1, -51.3065147399902
2.16, -51.3858871459961
2.22, -51.4718742370605
2.28, -51.5446319580078
2.34, -51.6159210205078
2.4, -51.6842727661133
2.46, -51.7496795654297
2.52, -51.8393440246582
2.58, -51.9194526672363
2.64, -51.9892692565918
2.7, -52.0590896606445
2.76, -52.1208229064941
2.82, -52.2060775756836
2.88, -52.2758941650391
2.94, -52.3390998840332
3.0, -52.4089202880859
3.06, -52.4941711425781
3.12, -52.5654602050781
3.18, -52.6477737426758
3.24, -52.7264099121094
3.3, -52.8109283447266
3.36, -52.896183013916
3.42, -52.9887847900391
3.48, -53.072566986084
3.54, -53.1504707336426
3.6, -53.2504196166992
3.66, -53.3452262878418
3.72, -53.4356231689453
3.78, -53.5032386779785
3.84, -53.5693817138672
3.9, -53.6502265930176
3.96, -53.7354774475098
4.02, -53.824405670166
4.08, -53.9008407592773
4.14, -53.9684524536133
4.2, -54.0434188842773
4.26, -54.1198501586914
4.32, -54.2014274597168
4.38, -54.2800674438477
4.44, -54.3440055847168
4.5, -54.3888359069824
4.56, -54.4586563110352
4.62, -54.538028717041
4.68, -54.6166687011719
4.74, -54.6872215270996
4.8, -54.7754135131836
4.86, -54.8525810241699
4.92, -54.932689666748
4.98, -54.9936904907227
5.04, -55.0862922668457
5.1, -55.1715431213379
5.16, -55.2391586303711
5.22, -55.3023643493652
5.28, -55.3574829101563
5.34, -55.4184837341309
5.4, -55.503002166748
5.46, -55.5904579162598
5.52, -55.6514587402344
5.58, -55.717601776123
5.64, -55.8043251037598
5.7, -55.9013366699219
5.76, -55.9785041809082
5.82, -56.0453834533691
5.88, -56.0968284606934
5.94, -56.1688537597656
6.0, -56.2474937438965
6.06, -56.3268661499023
6.12, -56.4231414794922
6.18, -56.5083961486816
6.24, -56.5870323181152
6.3, -56.6524429321289
6.36, -56.7031517028809
6.42, -56.7612113952637
6.48, -56.8405876159668
6.54, -56.892765045166
6.6, -56.942741394043
6.66, -57.0052108764648
6.72, -57.0882606506348
6.78, -57.1624870300293
6.84, -57.2462692260742
6.9, -57.3285827636719
6.96, -57.4057502746582
7.02, -57.47998046875
7.08, -57.5652313232422
7.14, -57.6379928588867
7.2, -57.726921081543
7.26, -57.8254013061523
7.32, -57.9275550842285
7.38, -58.0201606750488
7.44, -58.0980606079102
7.5, -58.1612663269043
7.56, -58.231819152832
7.62, -58.303108215332
7.68, -58.3685188293457
7.74, -58.4464225769043
7.8, -58.5596008300781
7.86, -58.6676368713379
7.92, -58.7550964355469
7.98, -58.8271179199219
8.04, -58.9020843505859
8.1, -58.9902763366699
8.16, -59.0483360290527
8.22, -59.0990447998047
8.28, -59.1732749938965
8.34, -59.2960090637207
8.4, -59.3775863647461
8.46, -59.4525489807129
8.52, -59.5392723083496
8.58, -59.6289367675781
8.64, -59.7031631469727
8.7, -59.784008026123
8.76, -59.889102935791
8.82, -59.9670066833496
