% Measurement ID: 3820
% Mode ID: S
% Date and time: 2020-12-05 09:45:16
% Sample ID: DP68-53
% Measurement type: ringdown
% Frequency [Hz]: 1216113.0
% Quality factor: 77628878.29103072
% Temperature [K]: 293.0
% Pressure [mBar]: 6.7e-09
% Notes: 
% Bad.
%
% measurement data
% time [s], power [dBm]
0.3, -103.183288574219
0.6, -101.642127990723
0.9, -99.7540740966797
1.2, -99.7099761962891
1.5, -100.70140838623
1.8, -99.7011566162109
2.1, -99.7121810913086
2.4, -100.004684448242
2.7, -99.9260482788086
3.0, -98.6031646728516
3.3, -96.7180480957031
3.6, -96.7261352539063
3.9, -96.384391784668
4.2, -96.6305923461914
4.5, -96.5240249633789
4.8, -96.2432861328125
5.1, -95.961067199707
5.4, -95.9904632568359
5.7, -96.6136932373047
6.0, -96.2837066650391
6.3, -95.5612640380859
6.6, -96.3711624145508
6.9, -96.2697372436523
7.2, -97.0936050415039
7.5, -98.0887069702148
7.8, -97.6955184936523
8.1, -98.6501998901367
8.4, -98.1879272460938
8.7, -97.2648468017578
9.0, -97.1516647338867
9.3, -98.0409393310547
9.6, -97.9652404785156
9.9, -98.7692565917969
10.2, -99.1587753295898
10.5, -99.5754852294922
10.8, -98.4348602294922
11.1, -98.4025268554688
11.4, -97.5441207885742
11.7, -97.1847381591797
12.0, -97.206787109375
12.3, -97.0436248779297
12.6, -98.4841003417969
12.9, -98.1034088134766
13.2, -97.5426483154297
13.5, -97.1935577392578
13.8, -96.6504364013672
14.1, -96.6276550292969
14.4, -96.6489639282227
14.7, -96.8385848999023
15.0, -96.4968338012695
15.3, -96.4931640625
15.6, -96.3079605102539
15.9, -97.5948333740234
16.2, -99.0852813720703
16.5, -99.70556640625
16.8, -97.8667602539063
17.1, -99.1903762817383
17.4, -99.4939041137695
17.7, -100.144325256348
18.0, -100.902778625488
18.3, -99.7312927246094
18.6, -99.7018966674805
18.9, -100.702140808105
19.2, -101.112968444824
19.5, -101.112968444824
19.8, -101.980934143066
20.1, -101.573043823242
20.4, -101.329040527344
20.7, -102.152168273926
21.0, -101.692100524902
21.3, -101.598030090332
21.6, -102.530662536621
21.9, -101.785438537598
22.2, -103.739631652832
22.5, -104.183540344238
22.8, -103.595588684082
23.1, -102.363098144531
23.4, -102.693817138672
23.7, -101.612731933594
24.0, -102.314590454102
24.3, -102.249183654785
24.6, -102.615913391113
24.9, -104.571586608887
25.2, -105.944442749023
25.5, -103.171531677246
25.8, -104.657569885254
26.1, -105.793045043945
26.4, -104.044631958008
