% Measurement ID: 623
% Mode ID: 1
% Date and time: 2019-04-06 12:41:10
% Sample ID: SP12-54
% Measurement type: ringdown
% Frequency [Hz]: 1485173.97
% Quality factor: 4036875.715785792
% Temperature [K]: 293.0
% Pressure [mBar]: 2.8e-06
% Notes: 
% 
%
% measurement data
% time [s], power [dBm]
0.003, -42.0097885131836
0.006, -42.0112571716309
0.009, -42.0127296447754
0.012, -42.0134620666504
0.015, -42.0149345397949
0.018, -42.0164031982422
0.021, -42.0171394348145
0.024, -42.0186080932617
0.027, -42.019344329834
0.03, -42.0208129882813
0.033, -42.0215492248535
0.036, -42.0230178833008
0.039, -42.023754119873
0.042, -42.024486541748
0.045, -42.0252227783203
0.048, -42.0266914367676
0.051, -42.0274276733398
0.054, -42.0281600952148
0.057, -42.0288963317871
0.06, -42.0296325683594
0.063, -42.0303649902344
0.066, -42.0311012268066
0.069, -42.0318374633789
0.072, -42.0325698852539
0.075, -42.0340423583984
0.078, -42.0347747802734
0.081, -42.0355110168457
0.084, -42.036247253418
0.087, -42.036979675293
0.09, -42.0384521484375
0.093, -42.0391845703125
0.096, -42.0399208068848
0.099, -42.041389465332
0.102, -42.0428619384766
0.105, -42.0435943603516
0.108, -42.0450668334961
0.111, -42.0465354919434
0.114, -42.0487403869629
0.117, -42.0502090454102
0.12, -42.0524139404297
0.123, -42.0546188354492
0.126, -42.0568237304688
0.129, -42.0590286254883
0.132, -42.0612335205078
0.135, -42.0641746520996
0.138, -42.0671119689941
0.141, -42.0700531005859
0.144, -42.0729942321777
0.147, -42.0759315490723
0.15, -42.0788726806641
0.153, -42.0810775756836
0.156, -42.0840187072754
0.159, -42.0862236022949
0.162, -42.0884284973145
0.165, -42.090633392334
0.168, -42.0921020507813
0.171, -42.0943069458008
0.174, -42.095775604248
0.177, -42.0972442626953
0.18, -42.0979804992676
0.183, -42.0994491577148
0.186, -42.1001853942871
0.189, -42.1001853942871
0.192, -42.1009216308594
0.195, -42.1009216308594
0.198, -42.1009216308594
0.201, -42.1001853942871
0.204, -42.1001853942871
0.207, -42.0994491577148
0.21, -42.0987167358398
0.213, -42.0979804992676
0.216, -42.0972442626953
0.219, -42.0972442626953
0.222, -42.0965118408203
0.225, -42.095775604248
0.228, -42.095775604248
0.231, -42.095775604248
0.234, -42.095775604248
0.237, -42.095775604248
0.24, -42.095775604248
0.243, -42.0965118408203
0.246, -42.0972442626953
0.249, -42.0987167358398
0.252, -42.0994491577148
0.255, -42.1016540527344
0.258, -42.1038589477539
0.261, -42.1060638427734
0.264, -42.1090049743652
0.267, -42.112678527832
0.27, -42.1163558959961
0.273, -42.1200294494629
0.276, -42.1251754760742
0.279, -42.129581451416
0.282, -42.1354637145996
0.285, -42.1406059265137
0.288, -42.1464881896973
0.291, -42.1523666381836
0.294, -42.1589813232422
0.297, -42.1655960083008
0.3, -42.1722106933594
0.303, -42.178825378418
0.306, -42.1847038269043
0.309, -42.1913185119629
0.312, -42.1979331970215
0.315, -42.2038116455078
0.318, -42.2104263305664
0.321, -42.2155723571777
0.324, -42.2214508056641
0.327, -42.2265930175781
0.33, -42.2317390441895
0.333, -42.2361488342285
0.336, -42.2405586242676
0.339, -42.2442321777344
0.342, -42.2479095458984
0.345, -42.2515830993652
0.348, -42.2537879943848
0.351, -42.2559928894043
0.354, -42.2581977844238
0.357, -42.2596664428711
0.36, -42.2604026794434
0.363, -42.2611351013184
0.366, -42.2604026794434
0.369, -42.2596664428711
0.372, -42.2589302062988
0.375, -42.2574615478516
0.378, -42.255256652832
0.381, -42.2530517578125
0.384, -42.250114440918
0.387, -42.2471733093262
0.39, -42.2434997558594
0.393, -42.2398223876953
0.396, -42.2361488342285
0.399, -42.2310028076172
0.402, -42.2265930175781
0.405, -42.2221870422363
0.408, -42.217041015625
0.411, -42.2118949890137
0.414, -42.2067527770996
0.417, -42.2016067504883
0.42, -42.196460723877
0.423, -42.1913185119629
0.426, -42.1854400634766
0.429, -42.1802940368652
0.432, -42.1751480102539
0.435, -42.1692695617676
0.438, -42.1641235351563
0.441, -42.1589813232422
0.444, -42.1545715332031
0.447, -42.1494255065918
0.45, -42.1450157165527
0.453, -42.1406059265137
0.456, -42.1361961364746
0.459, -42.1317863464355
0.462, -42.1281127929688
0.465, -42.124439239502
0.468, -42.1207656860352
0.471, -42.1178245544434
0.474, -42.1148834228516
0.477, -42.111946105957
0.48, -42.1097412109375
0.483, -42.107536315918
0.486, -42.1060638427734
0.489, -42.1045951843262
0.492, -42.1031265258789
0.495, -42.1023902893066
0.498, -42.1016540527344
0.501, -42.1009216308594
0.504, -42.1009216308594
0.507, -42.1001853942871
0.51, -42.1009216308594
0.513, -42.1009216308594
0.516, -42.1016540527344
0.519, -42.1023902893066
0.522, -42.1031265258789
0.525, -42.1045951843262
0.528, -42.1060638427734
0.531, -42.108268737793
0.534, -42.1097412109375
0.537, -42.111946105957
0.54, -42.1148834228516
0.543, -42.1178245544434
0.546, -42.1200294494629
0.549, -42.1237030029297
0.552, -42.1266441345215
0.555, -42.1303176879883
0.558, -42.1339912414551
0.561, -42.1376686096191
0.564, -42.1413421630859
0.567, -42.1450157165527
0.57, -42.1494255065918
0.573, -42.1531028747559
0.576, -42.1575126647949
0.579, -42.1611862182617
0.582, -42.1648597717285
0.585, -42.1692695617676
0.588, -42.1729431152344
0.591, -42.1766204833984
0.594, -42.1802940368652
0.597, -42.183967590332
0.6, -42.1869087219238
0.603, -42.1905822753906
0.606, -42.1927871704102
0.609, -42.195728302002
0.612, -42.1979331970215
0.615, -42.200138092041
0.618, -42.2023429870605
0.621, -42.2038116455078
0.624, -42.2060165405273
0.627, -42.2074851989746
0.63, -42.2082214355469
0.633, -42.2096900939941
0.636, -42.2104263305664
0.639, -42.2111625671387
0.642, -42.2111625671387
0.645, -42.2118949890137
0.648, -42.2118949890137
0.651, -42.2111625671387
0.654, -42.2104263305664
0.657, -42.2096900939941
0.66, -42.2089576721191
0.663, -42.2082214355469
0.666, -42.2067527770996
0.669, -42.2052803039551
0.672, -42.2045478820801
0.675, -42.2030754089355
0.678, -42.2023429870605
0.681, -42.200870513916
0.684, -42.200138092041
0.687, -42.1986656188965
0.69, -42.1979331970215
0.693, -42.196460723877
0.696, -42.1949920654297
0.699, -42.1935234069824
0.702, -42.1913185119629
0.705, -42.1898498535156
0.708, -42.1876449584961
0.711, -42.1861724853516
0.714, -42.183967590332
0.717, -42.1810302734375
0.72, -42.178825378418
